contract,edition,token_id,token_id_db,old_metadata_cid,doc_file
0x2a86c5466f088caebf94e071a77669bae371cd87,0,84192194988336887268297181860741868331806134895311371625270671533240495509719,84192194988336887268297181860741868331806134895311371625270671533240495509719,QmU43SQodNf6niPwCZZt45uHfeWkM7mhxokYZTx9svebTT,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/84192194988336887268297181860741868331806134895311371625270671533240495509719.json
0x2a86c5466f088caebf94e071a77669bae371cd87,0,91641052224213995292130106305607107853658918792519691461793480796244015798257,91641052224213995292130106305607107853658918792519691461793480796244015798257,QmW6Uacdrbic8GsG3urtV68L8kmcP8Z7gvzZSTuz9FtvfM,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/91641052224213995292130106305607107853658918792519691461793480796244015798257.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,102483456495595525347856182687662158730242810709523643804999349043957638016884,102483456495595525347856182687662158730242810709523643804999349043957638016884,QmNthoe6NoWJNdbbQaFqGPfWT69xSdyxvGiwAeP8Kn8xcc,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/102483456495595525347856182687662158730242810709523643804999349043957638016884.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,111109302664824670737185277429938920398498513320697055470028732876817166971476,111109302664824670737185277429938920398498513320697055470028732876817166971476,QmWy3cuLEQxW2zmduUgb9A2pyQh15kcEJh9VPkyUxHXAYk,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/111109302664824670737185277429938920398498513320697055470028732876817166971476.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,114509197042641126982266828896949519237122822493274123627313583916128762606678,114509197042641126982266828896949519237122822493274123627313583916128762606678,QmVXikp5i5G9rPdJWh7vmtXWM5zbGC2hXXszWidiyVztqa,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/114509197042641126982266828896949519237122822493274123627313583916128762606678.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,115153310228114666588851347772754489107974000689653741321876665973855418043402,115153310228114666588851347772754489107974000689653741321876665973855418043402,QmRoSQpxm2JGWGUD1aKxb75cC83DEtqMQBdrBod4TisuUm,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/115153310228114666588851347772754489107974000689653741321876665973855418043402.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,15042014439770355205730296321097090521853295916950766059900103364979980239530,15042014439770355205730296321097090521853295916950766059900103364979980239530,QmdKsnjRLHdGrmLsAToWgGiQ8FjZcefTXFCMQh5UKGutQY,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/15042014439770355205730296321097090521853295916950766059900103364979980239530.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,23054627654022293378557484339859314570662620440316285194737095994444934294387,23054627654022293378557484339859314570662620440316285194737095994444934294387,QmPpFfqdLDre3vuTk4RG3BSj22ai68ZN14UvKKYLNvntTq,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/23054627654022293378557484339859314570662620440316285194737095994444934294387.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,25811853076941608055270457512038717433705462539422789705262203111341130500761,25811853076941608055270457512038717433705462539422789705262203111341130500761,QmcsfdpExevcCrDSNpdo2j4vqYwsetRTt16dEUVueJobAu,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/25811853076941608055270457512038717433705462539422789705262203111341130500761.json
0x2a86c5466f088caebf94e071a77669bae371cd87,1,34585829179764704558776471721101382364497188835544837351424684262481243220356,34585829179764704558776471721101382364497188835544837351424684262481243220356,QmTcdqPB6h9Agfr45Y183hCXDj3ePRGnYvtr2u6HrYfYGP,ops/cdn-retirement-phase2/step3/v3-docs/0x2a86c5466f088caebf94e071a77669bae371cd87/34585829179764704558776471721101382364497188835544837351424684262481243220356.json
