cid,present_locally,pinned,note
QmTUDoPy68ZkoxawFHE6AdxE1SqyScWmr4NcfWuYSCA3VG,yes,yes,
QmTWF8HSwQ2Z3HvEjwwjXRxZ4NU5fYSTr5rKiqNEdF9DPs,yes,yes,
QmTbTFvYum8uTGKYWoUtzKcKS2KMvkKCLH4z45Dh7UZAwM,yes,yes,
QmTghJHJhCGnKPem247yBQf7BgTMVchzskEH4hGWaVaQMK,yes,yes,
QmTkTdpHML2nP6E5qsjdDrXXm5Ti8VrRKfnULH9aagjpoa,yes,yes,
QmTkYEhG36KbuSmr3SqGfFsqSTiwa6pn6NnzJx63epr6nL,yes,yes,
QmTnPFnzVRUcw4bTYQCNmSWSSJW2HKFSxvd6WVrzK9L1p8,yes,yes,
QmTzNhZYPcAKVVyLNMvaJVfXQjuc8Z56QQ2fLWSUkW9QJa,yes,yes,
QmUGirRRVmZT6WWzWGtFX1ZULEc5VonWUPpiXxPAAoRNu1,yes,yes,already pinned
QmUKwy9bTQxxTQYY14jHGmarUAdvAju314RTFtphpCsJrk,yes,yes,
QmUN59VpheJGEpYQw7mmgMrFFHNaqGuurR7Vs11WFE191u,yes,yes,
QmUTJ8DjwFrKikWbFnS6rt11QkhbcAaBWubUWWgkDrz2xV,yes,yes,
QmUW9PWAEKwwr2wYHEjZSbypF7bCDTtpbuERHBJVNPWXAK,yes,yes,
QmUXzFaZiCbJ42o53CKzJ9WtjHBTJpVABCcNsmREP63nng,yes,yes,
QmUoCLoJeR2FfiX6eaWsNbqhYzXvjRitJUpw7Q758YUBrr,yes,yes,
QmUpe8oqG2qCPtU8EjW4v6b9LCJ5yqosKuA63ccidsXQfo,yes,yes,
QmUqGjHuDEsfMdY2g5beRmjf2hxX3wkyp3WGJvTqfRmyHf,yes,yes,already pinned
QmUrcjXbsgksPgj8fCTz7qWWdcYwJ5iFxRxQ44KSJFSMte,yes,yes,
QmUtwde1C2Ya9sr47wpvdHTrzHWbqen1ApfhpPLjgDmxum,yes,yes,already pinned
QmUzzH7hfiNpEMXYwvg32PTFUsvFPiLQdR8knFamFWQWUS,yes,yes,
QmV4Kd6KsNPzR7ogynsSP3an3yHt3fJ1CiK6AtupAWUWcE,yes,yes,already pinned
QmV6HQ6Y9zy1j65UgEa2BnThWGAg6ENMBNsK18S37mzdss,yes,yes,already pinned
QmV9SLd21GNSgzE5UgYNwmfTmMXeme87aZYSn1ehpkMCJc,yes,yes,
QmVYjfpzjNsxbZcZu5UKwWvcs8LsqAmHMTAUxY8LBPE8es,yes,yes,already pinned
QmVoeZzGkQPsjh6Em2XvM1aEsQZ4WM9Fb7zKS5Pgh7inUX,yes,yes,
QmVrcB7TQvXyyxRfxa6VoLTnoxWweQs8EC3sezMxupbRH6,yes,yes,
QmVxHxTzCiqBitFw1bzaBKoxjREoNum3t7cb33sbSEfLup,yes,yes,
QmW1DNhbYaSU2qSGkpn1Dxobnw6UuKms2YkJivrtEBoZzA,yes,yes,
QmW2QECBFzPi1kCw8KFUWZPMaqbVqQKmY6p7QtMeniazsy,yes,yes,already pinned
QmW97G7Xofc8AV4MwUGuv1zNcCFrvg5wtxyHCEimXsvwGn,yes,yes,
QmWFoPm6PkTF6aWTDKG6JgAbZHL7XuCrHQpHGxXRHS3U9B,yes,yes,
QmWMDffB5cW4cbG7zZLY1h7EWCQWaDa2jAnPvnMwpsFfPP,yes,yes,
QmWSzRA6MPxFPUMeL6AJGPN1JUwdemhkuczDwpummgBxCS,yes,yes,already pinned
QmWXMDiVVKMWSTAWnZXE5tFTHeoA28ZdbWyY588NpQ3bcD,yes,yes,
QmWXryqMFPxFfxmzXik8r5hM4ksVCaJaRap6aGH9kf2ZJQ,yes,yes,
