category,opensea_slug,opensea_url,bound_collection_uuid,uuid_your_api_returns_now,eth_contracts,os1_legacy_id,your_series_title,your_exhibition
1_live_series_in_your_mapping,bian-hua-xun-huan-sonojian-noxing-changes-cycles-a,https://opensea.io/collection/bian-hua-xun-huan-sonojian-noxing-changes-cycles-a,87bf9fc7-cab0-4a60-ac73-6a210ddbbcbc,,,33396365,"変化・循環・その間の形 / Changes, Cycles, and Shapes in Between",流れのパターン / Patterns of Flow
1_live_series_in_your_mapping,bindigrl-by-prema-murthy,https://opensea.io/collection/bindigrl-by-prema-murthy,9849f146-aef6-4614-9f8e-6bbf82fba520,,,24557579,Bindigrl,WETWARE
1_live_series_in_your_mapping,blonde-braids-study-ii-by-minne-atairu,https://opensea.io/collection/blonde-braids-study-ii-by-minne-atairu,94f4a7aa-833f-44fd-8047-101faee9cb4d,,,27051118,Blonde Braids Study II,In/Visible
1_live_series_in_your_mapping,bloomcore-by-rick-silva,https://opensea.io/collection/bloomcore-by-rick-silva,a00f828f-f402-42e6-b382-0d99e7881da7,,,25173407,BLOOMCORE,BLOOMCORE
1_live_series_in_your_mapping,blooming-valetudinarian-by-ilya-shkipin,https://opensea.io/collection/blooming-valetudinarian-by-ilya-shkipin,e6041b92-79ff-4ebe-a9b1-b9e7b089046d,,,24557544,Blooming Valetudinarian,Field Guide
1_live_series_in_your_mapping,blossom-font-by-tabor-robak,https://opensea.io/collection/blossom-font-by-tabor-robak,d0b8d299-3787-4da9-8eff-9a7654d7e2cb,,,27220893,💮 ɃŁØSSØM (FØNŦ) 💮,The Experiment
1_live_series_in_your_mapping,blue-veil-by-brandon-blommaert,https://opensea.io/collection/blue-veil-by-brandon-blommaert,c974b77f-3734-4952-9cea-1dcd591cc48d,,,24557491,Blue Veil,Fragments of a Hologram Rose
1_live_series_in_your_mapping,boom-town-by-peter-burr,https://opensea.io/collection/boom-town-by-peter-burr,24e7d8fd-01b9-4673-9f46-6f69118feda1,,,24985994,WAREHOUSE,BOOM TOWN
1_live_series_in_your_mapping,breakpoint-by-james-merrill,https://opensea.io/collection/breakpoint-by-james-merrill,abc9532c-3b95-4502-b0ac-fa5a64510ccd,,,31010756,Breakpoint.,+GRAPH
1_live_series_in_your_mapping,can-i-go-where-you-go-by-maya-man,https://opensea.io/collection/can-i-go-where-you-go-by-maya-man,69518c54-2bc5-4b90-b606-675529c7593d,,,24557516,can I go where you go?,Social Codes
1_live_series_in_your_mapping,cancel-yourself-by-danielle-brathwaite-shirley,https://opensea.io/collection/cancel-yourself-by-danielle-brathwaite-shirley,ccb212b8-76cd-4c54-824a-266f33fe057d,,,31609090,CANCEL YOURSELF,SOUND MACHINES
1_live_series_in_your_mapping,cancelling-yourself-portal-video-by-danielle-brath,https://opensea.io/collection/cancelling-yourself-portal-video-by-danielle-brath,75e849ce-0d03-4943-84b3-56a41be87044,,,31608780,CANCELLING YOURSELF (Portal Video),SOUND MACHINES
1_live_series_in_your_mapping,caryatid-recursion-by-sarah-zucker,https://opensea.io/collection/caryatid-recursion-by-sarah-zucker,03292b3d-769f-4235-a8ad-a3517e24f351,,,24557710,Caryatid: Recursion,Peer to Peer
1_live_series_in_your_mapping,caryatid-thought-by-sarah-zucker,https://opensea.io/collection/caryatid-thought-by-sarah-zucker,51de9ede-43ee-43a8-8af5-3771d73eacc7,,,24557701,Caryatid: Thought,Peer to Peer
1_live_series_in_your_mapping,caryatid-vision-by-sarah-zucker,https://opensea.io/collection/caryatid-vision-by-sarah-zucker,b8e62a5d-cbe8-46c6-8d5c-fd66e06a0984,,,24557705,Caryatid: Vision,Peer to Peer
1_live_series_in_your_mapping,caryatid-wink-by-sarah-zucker,https://opensea.io/collection/caryatid-wink-by-sarah-zucker,c601cac7-6a3b-410f-baa2-a86f4a6be10d,,,24557702,Caryatid: Wink,Peer to Peer
1_live_series_in_your_mapping,caylx-by-nate-boyce,https://opensea.io/collection/caylx-by-nate-boyce,50aa02eb-dccf-4003-99a2-69a1f62cb337,,,24557488,Caylx,Fragments of a Hologram Rose
1_live_series_in_your_mapping,chaos-blocks-by-james-merrill,https://opensea.io/collection/chaos-blocks-by-james-merrill,e7252d16-c248-4de0-aade-433e9e7d2484,,,24557505,Chaos Blocks,–GRAPH
1_live_series_in_your_mapping,cherti-by-iskra-velitchkova,https://opensea.io/collection/cherti-by-iskra-velitchkova,cee5b80c-af17-44d0-9a56-c17a68f92569,,,24557508,CHERTI,–GRAPH
1_live_series_in_your_mapping,chez-jo-by-linda-dounia,https://opensea.io/collection/chez-jo-by-linda-dounia,0fc999f8-144b-48c9-99e1-b1b6968cc29f,,,27051212,Chez Jo,In/Visible
1_live_series_in_your_mapping,cities-and-spaceships-by-rayan-elnayal,https://opensea.io/collection/cities-and-spaceships-by-rayan-elnayal,5810d154-74d0-4933-9073-554beaae1baf,,,27051275,Cities and spaceships,In/Visible
1_live_series_in_your_mapping,club-rothko-orange-and-yellow-starter-pack-by-latu,https://opensea.io/collection/club-rothko-orange-and-yellow-starter-pack-by-latu,867218d3-8421-4e45-b6b9-eca2fef44f5d,,,24557685,CLUB ROTHKO - ORANGE AND YELLOW STARTER PACK,Peer to Peer
1_live_series_in_your_mapping,colors-of-noise-by-kim-asendorf,https://opensea.io/collection/colors-of-noise-by-kim-asendorf,87d406ed-010f-4b76-91a2-41bcec98f51a,,,26431119,COLORS OF NOISE,COLORS OF NOISE
1_live_series_in_your_mapping,confetti-by-nygilia,https://opensea.io/collection/confetti-by-nygilia,3984aa55-0f95-4d0c-a612-bec090616795,,,27051687,Confetti,In/Visible
1_live_series_in_your_mapping,contemplating-motion-by-scott-eaton,https://opensea.io/collection/contemplating-motion-by-scott-eaton,6ceb34ad-a8e2-40af-ada7-121a778ec352,,,24557605,Contemplating Motion,Reflections in the Water
1_live_series_in_your_mapping,contested-zone-by-vns-matrix,https://opensea.io/collection/contested-zone-by-vns-matrix,434b4eab-f8ed-4e75-b80f-5377e08ca430,,,24557589,Contested Zone,WETWARE
