status,exhibition,collection_name,collection_uuid,contract,current_opensea_collection,sample_token_id,current_metadata_url,expected_metadata_url
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,11853453751090959671312000797032361782895431600033878255608787696727826569744,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/11853453751090959671312000797032361782895431600033878255608787696727826569744
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,26777294115911794943872678479575265637406102913803209848320883791959191358224,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/26777294115911794943872678479575265637406102913803209848320883791959191358224
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,826926332651362942322512888064699544900818606713106726950616943073530830193,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/826926332651362942322512888064699544900818606713106726950616943073530830193
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,100259033651638840688415246311962179533043394327511689573082289244072844454040,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/100259033651638840688415246311962179533043394327511689573082289244072844454040
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,21827525339015493852879098446115618810266725129353170517195385021115583630648,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/21827525339015493852879098446115618810266725129353170517195385021115583630648
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,22771107291080455747174181672465688559893222727372222944131169711608991463754,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/22771107291080455747174181672465688559893222727372222944131169711608991463754
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,103477453257555427386413623329468338494139360419570205787103098657772417578369,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/103477453257555427386413623329468338494139360419570205787103098657772417578369
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,51517200951363190976476841985696264911236621803303093126297032304284847774058,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/51517200951363190976476841985696264911236621803303093126297032304284847774058
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,17873001452543386695883496786953153816036152459857767890440812893061390884781,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/17873001452543386695883496786953153816036152459857767890440812893061390884781
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,61626451917981075964144752202971575062412728116712793624101268021305155848410,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/61626451917981075964144752202971575062412728116712793624101268021305155848410
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,3600379894897785441890175511807893754450730869030016812905817072879542671856,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/3600379894897785441890175511807893754450730869030016812905817072879542671856
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,42548676928814898295310508924935752434654792129753083415050785322793230237933,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/42548676928814898295310508924935752434654792129753083415050785322793230237933
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,35734477414191267536182241740263814124031024446329880450548076200218345681267,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/35734477414191267536182241740263814124031024446329880450548076200218345681267
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,1763616891931023837042453769144482006254932093168986980699649370227086293946,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/1763616891931023837042453769144482006254932093168986980699649370227086293946
delisted (no data),Infinite Entropy,Infinite Entropy by Rafaël Rozendaal,71513905-f7b2-4ac1-b617-0d41123b3639,0x0A5c44da5F71B884c16A195CeC304F47ac0233CF,,51405502197975593020006428012979698169421745577070862472572939978086684899049,,https://feralfile.com/api/contracts/0x0A5c44da5F71B884c16A195CeC304F47ac0233CF/tokens/51405502197975593020006428012979698169421745577070862472572939978086684899049
delisted (no data),Primordium,36 Points by Sage Jenson,6fc37daa-bb2b-4cb4-993e-5414e6bd672d,0x513AC47320798fB6D74543242a9c0F686682998D,,43593768040483625743468770500373785749685714786564201072059172213178285065644,,https://feralfile.com/api/contracts/0x513AC47320798fB6D74543242a9c0F686682998D/tokens/43593768040483625743468770500373785749685714786564201072059172213178285065644
delisted (no data),Primordium,36 Points by Sage Jenson,6fc37daa-bb2b-4cb4-993e-5414e6bd672d,0x513AC47320798fB6D74543242a9c0F686682998D,,35521017362997486661227184386262019050944532469219603439542027056911404432989,,https://feralfile.com/api/contracts/0x513AC47320798fB6D74543242a9c0F686682998D/tokens/35521017362997486661227184386262019050944532469219603439542027056911404432989
delisted (no data),Primordium,36 Points by Sage Jenson,6fc37daa-bb2b-4cb4-993e-5414e6bd672d,0x513AC47320798fB6D74543242a9c0F686682998D,,78185066854195316843381508527357809817094314029485180988986462325720436744133,,https://feralfile.com/api/contracts/0x513AC47320798fB6D74543242a9c0F686682998D/tokens/78185066854195316843381508527357809817094314029485180988986462325720436744133
delisted (no data),Reflections in the Water,Venuses (quantum bodies watched by Open Pose algorithm) by Libby Heaney,4a58d6e4-d014-4ea3-9837-f7892fd48157,0x29C9E04E05c5d261836e458BC5B779a7dE3C58D6,,75747731665689965407902221511726863463013349916962479906701106709260396584971,,https://feralfile.com/api/contracts/0x29C9E04E05c5d261836e458BC5B779a7dE3C58D6/tokens/75747731665689965407902221511726863463013349916962479906701106709260396584971
