verdict,exhibition,collection_name_expected,collection_uuid_expected,series_id,contract,token_id,http,latency_s,problem,collection_name,collection_uuid,name,image,animation_url
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854083,200,0.59,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #4,https://ipfs.feralfile.com/ipfs/Qmazbas5hCmrN56xqjjhbwfv9xCDccNCgGGNhPMMuYYEnw?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=3&artwork_number=4&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854083&token_id_hash=0x926bc3e723ca8c569f8252e971e314be52ae1f3cd6778fb8c39fa80e5820d612
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854086,200,0.59,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #7,https://ipfs.feralfile.com/ipfs/QmQSq9Gbi1otZhVUBp6vzz9TbJr5NpDhhAiFMAFMFqSDtB?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=6&artwork_number=7&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854086&token_id_hash=0xd1b64d6d1285796180100b477cb77f2cfeeb69e15537806658eaf8bd33d472e6
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854089,200,0.59,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #10,https://ipfs.feralfile.com/ipfs/QmPvG6Pg2uwo2fCoawjMnwN9uysieFrwPwYFHoGpfWavs5?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=9&artwork_number=10&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854089&token_id_hash=0x439dc78ee150adcd4f7357285a2cc6ffa3d5dfeff6832268d11d0428bcadf72f
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854092,200,0.59,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #13,https://ipfs.feralfile.com/ipfs/QmaWxtBo6UQy4BJ4mX9ptMc3osYQfDhyw5XL3GERGoDC7z?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=12&artwork_number=13&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854092&token_id_hash=0x89ecd767541d9f802f82df531b8682913af078a4f9e1dfcfc986ebf8890652b2
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854095,200,0.58,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #16,https://ipfs.feralfile.com/ipfs/QmYfVHJM2vhvFmVTGFJUB7uf3gW8qB4LR8VmW5Wctm6y3x?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=15&artwork_number=16&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854095&token_id_hash=0x0083942c0960d1891892ddb3a446ab5a3d93f5be91c444037f3563e4b8678888
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854098,200,0.59,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #19,https://ipfs.feralfile.com/ipfs/Qme4dZEXQvYjbp1Afg67V9xaWoUbpkHMgqmi5Kapa7m3AK?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=18&artwork_number=19&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854098&token_id_hash=0x90a678f553b563c9dc7c4f1f2cba01f5511410e5ac969b94260b46c735e6f151
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854101,200,0.59,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #22,https://ipfs.feralfile.com/ipfs/QmVqiqYwBu11kfLhxCqDdWto5hvv9gfUZjp7GXBTcVX1Cx?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=21&artwork_number=22&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854101&token_id_hash=0x528782bc07462deb649cae434ac2d5b815a4add8d46c11521deefc7132b7414c
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854104,200,0.6,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #25,https://ipfs.feralfile.com/ipfs/QmfPaBaddHAydV8L9ckjqUYNsZ24ju8dCdzVwWdjc2HbtS?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=24&artwork_number=25&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854104&token_id_hash=0xaa32d8290c61281ebdf57483ea2e8b680e524db81c15db05ee2cdc0960d28bff
Decentralized,+GRAPH,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,490e2542-daac-48c4-8407-bbd15eb9ab74,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737834854107,200,0.59,,Fictional Lullaby by Licia He,490e2542-daac-48c4-8407-bbd15eb9ab74,Fictional Lullaby #28,https://ipfs.feralfile.com/ipfs/QmWn5c2bGxaRvHn7bP82kswNL1UPy5FsBkH8utB9wgv6bh?,https://ipfs.feralfile.com/ipfs/QmZf9wRd5ErDxqioycPUPMo8fjEJLK64CdGKy31H4eVyo2?edition_number=27&artwork_number=28&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737834854107&token_id_hash=0x6c61fa96f0c95951e4b6354a0c1d498a2f04a45866292d27a5fc4f0a6c3cf702
Decentralized,+GRAPH,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,55e9a993-a644-405f-b489-d4dc7e03ac5c,0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096,1895471415479101141617488280575446737835854080,200,0.59,,Mineral by Julien Gachadoat,55e9a993-a644-405f-b489-d4dc7e03ac5c,Mineral #1,https://ipfs.feralfile.com/ipfs/QmQ4Hi7zuvuDsGUeFYLpegQbRrChjNUWCjy556ps5wJzwA?,https://ipfs.feralfile.com/ipfs/QmUUCsxhRaYR1W2PPqbVqerKuYru4HRduwX7VUz79gZVL7?edition_number=0&artwork_number=1&blockchain=ethereum&contract=0xacd3392e9Ec2C4D876D09DC38cb52F842Ea58096&token_id=1895471415479101141617488280575446737835854080&token_id_hash=0x7a695451912480bd18c462864b9c4ab10698b191eb5abb48523ef860d9277458
