verdict,collection_name,collection_uuid,collection_name_source,collection_uuid_source,os_storage_label,os_token_uri,os_collection_slug,os_collection_name,os_collection_verified,os_collection_owner,os_typename,sample_contract,sample_token_id,sampled_tokens,ff_api_http,ff_api_collection_name,ff_api_collection_uuid,ff_api_matches_derivation,os_original_animation,os_original_image,series_id,series_title,series_slug,artist_alias,exhibition_id,exhibition_title,mint_blockchain,contracts,scanned_at,error
Decentralized,CRAWL WOODBLOCK SCREENSHOTS by Travess Smalley,3c4b0a8b-6d3e-4c32-aaae-c701bb9deca9,explicit:series.metadata.collectionName,explicit:series.metadata.collectionUUID,DECENTRALIZED,https://ipfs.io/ipfs/QmSKjiUZekdfFsYExHgydrXuvTqpKkfXs7uVChyyvgiPdc/27271357221255084324537793443996264744604553267670416617055471525879034383744,crawl-woodblock-screenshots-by-travess-smalley,CRAWL WOODBLOCK SCREENSHOTS by Travess Smalley,true,FeralFile,Item,0x81c882c59799eA442317D020c39174AaAa8d7FC7,27271357221255084324537793443996264744604553267670416617055471525879034383744,1,200,CRAWL WOODBLOCK SCREENSHOTS by Travess Smalley,3c4b0a8b-6d3e-4c32-aaae-c701bb9deca9,True,,https://raw2.seadn.io/ethereum/0x81c882c59799ea442317d020c39174aaaa8d7fc7/b09748c665b4c04ba96d11880ffcce37.jpeg,6168b2a7-8700-4b76-87f3-70c7edbe2a85,SONGKNOTLIRA,songknotlira-x0s,Travess Smalley,3c4b0a8b-6d3e-4c32-aaae-c701bb9deca9,CRAWL,ethereum,FeralfileExhibitionV4_3@0x81c882c59799eA442317D020c39174AaAa8d7FC7,2026-09-03T09:29:44Z,
Decentralized,Public View / Private View by Jennifer and Kevin McCoy,3a69abd1-7a86-4538-96ed-972252fc2ca0,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmQtNNVTPQMirsXjXFB6zEeQKnKMbutjbree7mQpf2X6c4,public-view-private-view-by-jennifer-and-kevin-mcc,Public View / Private View by Jennifer and Kevin McCoy,true,FeralFile,Item,0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1,31221468210609484860409183864532577577041700613675444716595920226587732227163,3,200,Public View / Private View by Jennifer and Kevin McCoy,3a69abd1-7a86-4538-96ed-972252fc2ca0,True,https://raw2.seadn.io/ethereum/0xc4f0ee96676d3de800b9725eb628de1c5a0cbea1/ac83a2910d832fc7c436a26b07c84e09.mp4,https://raw2.seadn.io/ethereum/0xc4f0ee96676d3de800b9725eb628de1c5a0cbea1/102b912e2868bfdb08d7470999d197d9.jpeg,3a69abd1-7a86-4538-96ed-972252fc2ca0,Public View / Private View,jenn-and-kevin-mccoy-a1p,Jennifer and Kevin McCoy,484087f9-3121-4ad5-9056-e76c49ddceb7,Chain Reaction,ethereum,FeralfileExhibitionV3@0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1,2026-09-03T09:23:06Z,
Decentralized,Silva Ex Machina by Alfredo Salazar-Caro,4a747b91-c7a5-41ea-a4a3-4b958d95ab00,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmbhMBeQuN1snKGXfHjSTf7Hmc9GJEuu2uLzRUwkxSYvGZ,silva-ex-machina-by-alfredo-salazar-caro,Silva Ex Machina by Alfredo Salazar-Caro,true,FeralFile,Item,0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1,30154321245016221480147636494972145704944840675743022290291572601234813269383,3,200,Silva Ex Machina by Alfredo Salazar-Caro,4a747b91-c7a5-41ea-a4a3-4b958d95ab00,True,,https://raw2.seadn.io/ethereum/0xc4f0ee96676d3de800b9725eb628de1c5a0cbea1/6e0f00246684011a6314b85b9a9dd042.jpeg,4a747b91-c7a5-41ea-a4a3-4b958d95ab00,Silva Ex Machina,alfredo-salazar-caro-cgi,Alfredo Salazar-Caro,484087f9-3121-4ad5-9056-e76c49ddceb7,Chain Reaction,ethereum,FeralfileExhibitionV3@0xc4f0ee96676D3de800b9725eb628DE1C5a0CBea1,2026-09-03T09:22:53Z,
Decentralized,DATALAND: Rainforest – WEF 2024 Memento by Refik Anadol,f0f2f42e-d24f-44a2-85a1-4d85aa84c9ee,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/QmbMzWeGQESbWsc3JxHf82j8yD83uj18LwnXozwnZxJGLa/999,dataland-rainforest-wef-2024-memento-by-refik-anadol,DATALAND: Rainforest – WEF 2024 Memento by Refik Anadol,true,FeralFile,Item,0x051E50D8465417e58899FD48C3b0Fc0CA3Dd4B6a,999,1,200,DATALAND: Rainforest – WEF 2024 Memento by Refik Anadol,f0f2f42e-d24f-44a2-85a1-4d85aa84c9ee,True,,,f0f2f42e-d24f-44a2-85a1-4d85aa84c9ee,DATALAND: Rainforest – WEF 2024 Memento,dataland-rainforest-wef-2024-memento-wi6,Refik Anadol,87a8e260-d5da-4ee4-a9b3-e643d6cd28a8,DATALAND: Rainforest – WEF 2024 Memento,ethereum,FeralFileAirdropV1@0x051E50D8465417e58899FD48C3b0Fc0CA3Dd4B6a,2026-09-03T09:28:32Z,
Decentralized,Da Nang Landscape by An.H,db6e39b0-4500-48d7-ac83-398a877006de,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/Qmc2niHNF1WZ96vYnHSKdwQmLEwuWnKjNT5YBi6dwuYPoc/134895933407150738247485394453988486668042816,testexhibition001,TestExhibition001,false,,Item,0x60d0e7d2Ce6558d0a993693c4612fF9a642C5433,134895933407150738247485394453988486668042816,3,200,Da Nang Landscape by An.H,db6e39b0-4500-48d7-ac83-398a877006de,True,,,db6e39b0-4500-48d7-ac83-398a877006de,Da Nang Landscape,da-nang-landscape-jwk,An.H,60c8784e-87d6-4235-9925-d12b250509bf,Da Nang Review,ethereum,FeralfileExhibitionV4@0x60d0e7d2Ce6558d0a993693c4612fF9a642C5433,2026-09-03T09:27:11Z,
Decentralized,Da Nang Lanscape by KNDN,a8a5d95b-f68d-4802-9f5f-2767c365474c,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.io/ipfs/Qmc2niHNF1WZ96vYnHSKdwQmLEwuWnKjNT5YBi6dwuYPoc/2158334934514411811959766311263815786674685056,testexhibition001,TestExhibition001,false,,Item,0x60d0e7d2Ce6558d0a993693c4612fF9a642C5433,2158334934514411811959766311263815786674685056,3,200,Da Nang Lanscape by KNDN,a8a5d95b-f68d-4802-9f5f-2767c365474c,True,,,a8a5d95b-f68d-4802-9f5f-2767c365474c,Da Nang Lanscape,da-nang-lanscape-n2v,KNDN,60c8784e-87d6-4235-9925-d12b250509bf,Da Nang Review,ethereum,FeralfileExhibitionV4@0x60d0e7d2Ce6558d0a993693c4612fF9a642C5433,2026-09-03T09:27:14Z,
Decentralized,Daemon (chaos) by Petros Moris,8711ddf0-0474-4a8d-a5ec-30c7f42977df,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmcfEiY7qPQdzTfe4KZDxTokskCCDR14q29ksJFSqzELy4/metadata.json,daemon-chaos-by-petros-moris,Daemon (chaos) by Petros Moris,true,FeralFile,Item,0x6DBa130221A1C39f6623908A136976686050059a,24487133724888882042422336242935619015674683503675788069020098776232053890143,3,200,Daemon (chaos) by Petros Moris,8711ddf0-0474-4a8d-a5ec-30c7f42977df,True,https://raw2.seadn.io/ethereum/0x6dba130221a1c39f6623908a136976686050059a/2f44f13c27c5a13ce0eb19048b920da4.mp4,https://raw2.seadn.io/ethereum/0x6dba130221a1c39f6623908a136976686050059a/d208fc3334c7494bfcbb148ab8243dcf.jpeg,8711ddf0-0474-4a8d-a5ec-30c7f42977df,Daemon (chaos),daemon-chaos-shj,Petros Moris,6be0bfbc-391a-40f0-bf13-6aa61c628f30,For Your Eyes Only,bitmark,FeralfileExhibitionV2@0x6DBa130221A1C39f6623908A136976686050059a,2026-09-03T09:13:37Z,
Decentralized,Patterns of Activation (gardens of the galaxy) by Katja Novitskova,f3170ca8-2a0d-49ac-b307-d20fbfb15b0d,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmTLFnZX71KoscGQBFzPRe9dvxcj8diyX5yhbsSL3JX7bY/metadata.json,patterns-of-activation-gardens-of-the-galaxy-by-ka,Patterns of Activation (gardens of the galaxy) by Katja Novitskova,true,FeralFile,Item,0x6DBa130221A1C39f6623908A136976686050059a,4237351900362484979393738734188218512814611599551146591211431512871878215161,3,200,Patterns of Activation (gardens of the galaxy) by Katja Novitskova,f3170ca8-2a0d-49ac-b307-d20fbfb15b0d,True,https://raw2.seadn.io/ethereum/0x6dba130221a1c39f6623908a136976686050059a/dbce07958b3d6e2ddddaf17764e9c212.gif,https://raw2.seadn.io/ethereum/0x6dba130221a1c39f6623908a136976686050059a/732ace0f478e94b0f8e69d9870399773.jpeg,f3170ca8-2a0d-49ac-b307-d20fbfb15b0d,Patterns of Activation (gardens of the galaxy),patterns-of-activation-gardens-of-the-galaxy-hhp,Katja Novitskova,6be0bfbc-391a-40f0-bf13-6aa61c628f30,For Your Eyes Only,bitmark,FeralfileExhibitionV2@0x6DBa130221A1C39f6623908A136976686050059a,2026-09-03T09:13:40Z,
Decentralized,AlleluiaAlleluia by Auriea Harvey,32f1b099-448d-4e6d-8358-70a64e005903,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmXGnwqS57ZwWsrxMMqeiTsmQSmhoVDnWDUTCFyaeLEMuA,alleluiaalleluia-by-auriea-harvey,AlleluiaAlleluia by Auriea Harvey,true,FeralFile,Item,0x6e82e4B398Ca4137007ba69ddD6FF699334d13b5,31658398539211567249775841645446054699032188246536879923555153674548343085940,3,200,AlleluiaAlleluia by Auriea Harvey,32f1b099-448d-4e6d-8358-70a64e005903,True,https://cdn.feralfileassets.com/previews/32f1b099-448d-4e6d-8358-70a64e005903/1667585109/?edition_number=0&blockchain=ethereum&contract=0x6e82e4B398Ca4137007ba69ddD6FF699334d13b5&token_id=31658398539211567249775841645446054699032188246536879923555153674548343085940,https://raw2.seadn.io/ethereum/0x6e82e4b398ca4137007ba69ddd6ff699334d13b5/ce78742ea6178c177cfb63153a5c3c62.jpeg,32f1b099-448d-4e6d-8358-70a64e005903,AlleluiaAlleluia,alleluiaalleluia-8yf,Auriea Harvey,77de6645-fe9d-44ab-8a89-94097d11e485,Gray Matter,ethereum,FeralfileExhibitionV3@0x6e82e4B398Ca4137007ba69ddD6FF699334d13b5,2026-09-03T09:20:38Z,
Decentralized,Curse Tablet by Auriea Harvey,a6463015-af79-43cf-ab25-84074828ac4b,derived:title by artist,derived:series.id,DECENTRALIZED,https://ipfs.bitmark.com/ipfs/QmTfTzb84tStajs4usgJMLWVgrsPHmFQMBU8Dh7serDqkp,curse-tablet-by-auriea-harvey,Curse Tablet by Auriea Harvey,true,FeralFile,Item,0x6e82e4B398Ca4137007ba69ddD6FF699334d13b5,18508392712335859217281546756689095982136889956180325835747044186697182425048,3,200,Curse Tablet by Auriea Harvey,a6463015-af79-43cf-ab25-84074828ac4b,True,https://cdn.feralfileassets.com/previews/a6463015-af79-43cf-ab25-84074828ac4b/1667592704/?edition_number=0&blockchain=ethereum&contract=0x6e82e4B398Ca4137007ba69ddD6FF699334d13b5&token_id=18508392712335859217281546756689095982136889956180325835747044186697182425048,https://raw2.seadn.io/ethereum/0x6e82e4b398ca4137007ba69ddd6ff699334d13b5/ee6c7f717e08b5ff0567d3f86c4249c5.jpeg,a6463015-af79-43cf-ab25-84074828ac4b,Curse Tablet,curse-tablet-let,Auriea Harvey,77de6645-fe9d-44ab-8a89-94097d11e485,Gray Matter,ethereum,FeralfileExhibitionV3@0x6e82e4B398Ca4137007ba69ddD6FF699334d13b5,2026-09-03T09:21:05Z,
