token_id,edition_index,old_artifact,old_metadata_cid,file
115102002126076552507580024863960618470463757507692547587654022394981581576254,23,Qmf8bvobDWMT,QmcTnjZ2aQfupDU423gjXLSjfGtx4jLiRDrzu3snaoDFyN,files/115102002126076552507580024863960618470463757507692547587654022394981581576254.json
115102002126076552507580024863960618470463757507692547587654022394981581576255,24,Qmf8bvobDWMT,QmaiqRyL4P5sV4fqbUDsTYwF42xLuAA5da8TrQesVQN6ez,files/115102002126076552507580024863960618470463757507692547587654022394981581576255.json
115102002126076552507580024863960618470463757507692547587654022394981581576256,25,Qmf8bvobDWMT,QmR5GJPeRJ385eWPsFBCmbHX9rpk3zLbGUfPz2c1B19giF,files/115102002126076552507580024863960618470463757507692547587654022394981581576256.json
115102002126076552507580024863960618470463757507692547587654022394981581576257,26,Qmf8bvobDWMT,Qmbz7LBKTtzGuNSbedVjMhAXykpGwHgx7e86cdiDGPBpEB,files/115102002126076552507580024863960618470463757507692547587654022394981581576257.json
115102002126076552507580024863960618470463757507692547587654022394981581576258,27,Qmf8bvobDWMT,QmSABJDEGrVHS64BRzBTGMRLTq8CnP2Jp9oytEeWZSoqPo,files/115102002126076552507580024863960618470463757507692547587654022394981581576258.json
115102002126076552507580024863960618470463757507692547587654022394981581576259,28,Qmf8bvobDWMT,QmNfC35tEN4WjLwFCAKhiUksxhZbAsku78EXp9cEucnyz1,files/115102002126076552507580024863960618470463757507692547587654022394981581576259.json
115102002126076552507580024863960618470463757507692547587654022394981581576260,29,Qmf8bvobDWMT,QmUfdBjXhAXZXHVezdBjsXMJgkjfL75DSTa2Vcs6XkUtAa,files/115102002126076552507580024863960618470463757507692547587654022394981581576260.json
115102002126076552507580024863960618470463757507692547587654022394981581576261,30,Qmf8bvobDWMT,QmSgee4q75TKGHcecPpbvrBsyqgbFeLPq23wDZToModkMJ,files/115102002126076552507580024863960618470463757507692547587654022394981581576261.json
115102002126076552507580024863960618470463757507692547587654022394981581576262,31,Qmf8bvobDWMT,QmfUShefA6JkP68VRNuxxdBxSUAZ4zysjdzFsdffr4BgEy,files/115102002126076552507580024863960618470463757507692547587654022394981581576262.json
115102002126076552507580024863960618470463757507692547587654022394981581576263,32,Qmf8bvobDWMT,QmcEfTRyvYFGR2WAKCeXSPjYmj45ZW7muwJVQS2JovWdZL,files/115102002126076552507580024863960618470463757507692547587654022394981581576263.json
115102002126076552507580024863960618470463757507692547587654022394981581576264,33,Qmf8bvobDWMT,QmNx1DAqYHMLERcKf4TezLWUiW58m34qXsG5s7Rq86PRS3,files/115102002126076552507580024863960618470463757507692547587654022394981581576264.json
115102002126076552507580024863960618470463757507692547587654022394981581576265,34,Qmf8bvobDWMT,QmR46aKwTDxekrv95FKFvdHogFxvyUUDiXrxzFCCw6FFKA,files/115102002126076552507580024863960618470463757507692547587654022394981581576265.json
115102002126076552507580024863960618470463757507692547587654022394981581576266,35,Qmf8bvobDWMT,QmSdcdN26DcjsLMXAzSTwzfoHAW4ZDuzK4Sqaioo9ghrM6,files/115102002126076552507580024863960618470463757507692547587654022394981581576266.json
115102002126076552507580024863960618470463757507692547587654022394981581576267,36,Qmf8bvobDWMT,QmfJVYcurzTuMZPqiQVFdijneAdFSnsQ9eSKsvUo89GfCY,files/115102002126076552507580024863960618470463757507692547587654022394981581576267.json
115102002126076552507580024863960618470463757507692547587654022394981581576268,37,Qmf8bvobDWMT,QmdMcnNzkbf5jcmnCuN5hbdyJcC3U2BFB8kBPgisccdPgG,files/115102002126076552507580024863960618470463757507692547587654022394981581576268.json
115102002126076552507580024863960618470463757507692547587654022394981581576269,38,Qmf8bvobDWMT,QmWGXSH2VXS9ouo6wrjZdBvpv7V1gQMxHaEMatpoFPbHJD,files/115102002126076552507580024863960618470463757507692547587654022394981581576269.json
115102002126076552507580024863960618470463757507692547587654022394981581576270,39,Qmf8bvobDWMT,QmYErHXS9mGYEMpTBdcDMdSrKeQ1dGnHPEq5MWFTDmA8Dr,files/115102002126076552507580024863960618470463757507692547587654022394981581576270.json
115102002126076552507580024863960618470463757507692547587654022394981581576271,40,Qmf8bvobDWMT,QmSu4NLYEmXs3LjKV7End8arRNG9mC5PyDgVSTQTHGGN3W,files/115102002126076552507580024863960618470463757507692547587654022394981581576271.json
115102002126076552507580024863960618470463757507692547587654022394981581576272,41,Qmf8bvobDWMT,QmecvBVERaRsgEiE2muocnBuE5nXduz4o2mF7Uosyjyov1,files/115102002126076552507580024863960618470463757507692547587654022394981581576272.json
115102002126076552507580024863960618470463757507692547587654022394981581576273,42,Qmf8bvobDWMT,QmQXjJZ7hjMZaWJVx1tDTTXofXdvU3h1i3tDsdiJ7ktbMi,files/115102002126076552507580024863960618470463757507692547587654022394981581576273.json
115102002126076552507580024863960618470463757507692547587654022394981581576274,43,Qmf8bvobDWMT,QmUo65BUoLjAH5MXUxMtAHBcTGM8iXynDiSg84SLAEAMoL,files/115102002126076552507580024863960618470463757507692547587654022394981581576274.json
115102002126076552507580024863960618470463757507692547587654022394981581576275,44,Qmf8bvobDWMT,QmTt2UaTnzAqF7tqBMVhmBptd8dY6bUpY7tHpRTRMh2k6V,files/115102002126076552507580024863960618470463757507692547587654022394981581576275.json
115102002126076552507580024863960618470463757507692547587654022394981581576276,45,Qmf8bvobDWMT,QmdR9nPnXZLEeFmBQJUdeXM1iobPyeLPUX6Dqou6oJeQeJ,files/115102002126076552507580024863960618470463757507692547587654022394981581576276.json
115102002126076552507580024863960618470463757507692547587654022394981581576277,46,Qmf8bvobDWMT,QmTwJceoneN5tQn4ggXondaw8Z75R4kHMhXD7op9fc5Jde,files/115102002126076552507580024863960618470463757507692547587654022394981581576277.json
115102002126076552507580024863960618470463757507692547587654022394981581576278,47,Qmf8bvobDWMT,QmcoXNmEBGWubKFyRH5zjXBcVc3u1yv8q8YXgyaJ9q6CaK,files/115102002126076552507580024863960618470463757507692547587654022394981581576278.json
115102002126076552507580024863960618470463757507692547587654022394981581576279,48,Qmf8bvobDWMT,QmQ2G8wbCqvWkvWGL28QRkujEPAoWaACRb7p6zPDTYKorf,files/115102002126076552507580024863960618470463757507692547587654022394981581576279.json
115102002126076552507580024863960618470463757507692547587654022394981581576280,49,Qmf8bvobDWMT,QmVRJ9jVDdcYH3iLkdhYJjAqXffiCNKaJUwh1SwWMXHk2J,files/115102002126076552507580024863960618470463757507692547587654022394981581576280.json
115102002126076552507580024863960618470463757507692547587654022394981581576281,50,Qmf8bvobDWMT,QmbiaQzkdPBHbtM662BH9YVoSBxcrcNokHZdFEK2kGqHNd,files/115102002126076552507580024863960618470463757507692547587654022394981581576281.json
115102002126076552507580024863960618470463757507692547587654022394981581576282,51,Qmf8bvobDWMT,QmRCq2B84eeJYW3enGQfpesgFibDqRmEgNChq8pTyLeRVs,files/115102002126076552507580024863960618470463757507692547587654022394981581576282.json
115102002126076552507580024863960618470463757507692547587654022394981581576283,52,Qmf8bvobDWMT,QmXoMCzku5pWgobXHyzn4y1YK6Us1mPiXm8qJzMstR3QSF,files/115102002126076552507580024863960618470463757507692547587654022394981581576283.json
115102002126076552507580024863960618470463757507692547587654022394981581576284,53,Qmf8bvobDWMT,QmR1WKDwukTEsNsEHhEyr47vPfWJsaUz9qYSsmbrdWqEHo,files/115102002126076552507580024863960618470463757507692547587654022394981581576284.json
115102002126076552507580024863960618470463757507692547587654022394981581576285,54,Qmf8bvobDWMT,QmZoeY3FuXAc4pWLZEnewRmGQWQg9WQjh2Y9XE5WFM61F6,files/115102002126076552507580024863960618470463757507692547587654022394981581576285.json
115102002126076552507580024863960618470463757507692547587654022394981581576286,55,Qmf8bvobDWMT,QmUEbydh7EDHP3XPqAJE7RziHNUh3LtMos2HLqfvQPony2,files/115102002126076552507580024863960618470463757507692547587654022394981581576286.json
115102002126076552507580024863960618470463757507692547587654022394981581576287,56,Qmf8bvobDWMT,QmcQeAsjRTdP931waQEtsUsLvPm6kFoevjgBTsezeYcM7s,files/115102002126076552507580024863960618470463757507692547587654022394981581576287.json
115102002126076552507580024863960618470463757507692547587654022394981581576288,57,Qmf8bvobDWMT,QmPLLJDg4xQ9PyZKubDSychPHaS1takBWMuLJ6KAeQEVrn,files/115102002126076552507580024863960618470463757507692547587654022394981581576288.json
115102002126076552507580024863960618470463757507692547587654022394981581576289,58,Qmf8bvobDWMT,QmUzcPR8uy4n9yoQnRhTMKsyF1iKbsD7pLsZcEK9DKdZpF,files/115102002126076552507580024863960618470463757507692547587654022394981581576289.json
115102002126076552507580024863960618470463757507692547587654022394981581576290,59,Qmf8bvobDWMT,QmR3xhz4KvjYsGj1NTZVnUM7o7B9JxLVes9DjVXjfmSYWS,files/115102002126076552507580024863960618470463757507692547587654022394981581576290.json
115102002126076552507580024863960618470463757507692547587654022394981581576291,60,Qmf8bvobDWMT,QmTHdYhKpS9GQQ7CSc8ZtcCaAborSAmqdeHFjndYRfNz1e,files/115102002126076552507580024863960618470463757507692547587654022394981581576291.json
115102002126076552507580024863960618470463757507692547587654022394981581576292,61,Qmf8bvobDWMT,QmNs9uRVChTTaUdHZLfgdxuhtB2c7zLMc9PprUMs92cDfk,files/115102002126076552507580024863960618470463757507692547587654022394981581576292.json
115102002126076552507580024863960618470463757507692547587654022394981581576293,62,Qmf8bvobDWMT,QmNRw7AkdGkjywca52RJaex9RNqbvxSHximLSzY9bYQ184,files/115102002126076552507580024863960618470463757507692547587654022394981581576293.json
