what,old_cid,new_cid
artwork_dir (animation_url target),Qma2VZMhsrMjrbCZcJQXuF71XTwRdL45EPH97KC8BHo8Pd,QmQ8qYSYNdiWR5Pjgqudnckf2Mk2R7mkK8T4L12Q3rnCWV
base_dir (tokenBaseURI),QmQjzvrvZjzNGiqQhTGsiHeTpb9FmEcjCVWxVySf5FANC1,QmZTedFYmyhEH7G77BTnuVk7DHrYWJzdHaWK4wMeXwkPVo
