edition,class,token_id,old_metadata_cid,old_animation_url,old_image,dir
26,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689485,QmWii6Vdsp3Db5Ds8rwUCqDFyHyxJwY74jWsgLMxuux5gs,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/026
27,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689486,QmeDhVxVCd7iBv4GEpWMQJFkui5scDHfRban2KSdxW35Rd,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/1387fb4f-59a3-4fa6-7adc-fea2528d6400/thumbnailLarge,dirs/027
28,CDN,97339798142417990651546655250958447204136795354879494670137097919969032689487,QmQSQFn4MC3wg6dZ72vFBDWzqg4UfYXtjrfwADG7VvKJGi,https://cdn.feralfileassets.com/previews/7b77f5d5-fefc-4a77-a40c-e9e8e5f8f9cb/1651845829/preview.mp4,https://imagedelivery.net/5BJzhBHeVhlhbn58hvcXAQ/1387fb4f-59a3-4fa6-7adc-fea2528d6400/thumbnailLarge,dirs/028
30,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689489,QmXG8H5Wo99AtUSjuPfZgCnEhrUJpM5JA5iscJEGR7CRD8,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/030
32,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689491,QmRx1noVURoGA9urPdyfM21W12CgevMizQqNYFDHkmVKcc,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/032
33,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689492,QmYPjyuBM7KC3fMxTrvuSTNkPpTMmjGmcd19R2P27DAKrj,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/033
35,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689494,QmWKRmAgYGnm74XhriQ79eoztmFFkpPfzFGZ8MbLEAvjDn,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/035
36,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689495,QmTFdjpLWTig2KPgMWfndjotU57ZVozKVsaYEUfAHAMMxj,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/036
37,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689496,QmaiCGLtosVokEjcFLpnHK6N2Kcr32GUGQh4V156ioMFqM,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/037
39,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689498,QmPNgAh3Fjofhty4Lk5RyXc4uZ6RmKTqdCwet6wBjWs8QQ,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/039
40,HLS,97339798142417990651546655250958447204136795354879494670137097919969032689499,QmdPKrmkk3ck8GhkvsnWiKCbKFZnFK8qMJ5KqwVCDMyPJN,ipfs://QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,ipfs://QmUPxh15j9tss7FpUUT5WhLmadA24yVf4qrMe1FbinnW76,dirs/040
