exhibition_slug,series_id,series_title,artist,medium,bitmark_works_in_series,sample_artwork_id,media_url,probe_status,content_type
the-bardo-unpacking-the-real-a2j,e9aab828-96ae-4d16-b155-6bb9fded9f34,Slipstream 001,,video,68,50ef79f5303aebb25d5a0823489c90141c211d6c8a6b1e7f61530ab7b95d85a1,https://cdn.feralfileassets.com/previews/e9aab828-96ae-4d16-b155-6bb9fded9f34/1620621299/compressed.mp4,200,video/mp4
the-bardo-unpacking-the-real-a2j,faa504eb-868c-4134-a7b2-eef051b9abbc,it's a matter of perspective,,software,119,3fcb4f37e2a8d9d79bdc7a769a473a531cba303590f6276c169104af4ca3b436,https://cdn.feralfileassets.com/previews/faa504eb-868c-4134-a7b2-eef051b9abbc/1620642833/?edition_number=197&blockchain=bitmark,200,text/html
the-long-cut-bqv,06dccbad-8fee-4c3c-934a-7eb45bd0b9d1,Free Fall Study III,,video,26,0204c315f93a78cc71d3f285b970002f86af4abbf4cfcbfeecf92cdf24975aa8,https://cdn.feralfileassets.com/previews/06dccbad-8fee-4c3c-934a-7eb45bd0b9d1/1627392674/compressed.mp4,200,video/mp4
the-long-cut-bqv,1703b594-d76d-49a5-a6c8-ce04f85550ed,Steering Pixels,,video,22,0714d112c06bbccc325362ac17c63e05c746ec8ce084065215c418a75ae2b6e3,https://cdn.feralfileassets.com/previews/1703b594-d76d-49a5-a6c8-ce04f85550ed/1627323098/compressed.mp4,200,video/mp4
the-long-cut-bqv,231fa61b-eb94-40d7-9a5c-0d5c7e94f1ed,"E-dream: We’ll stay, forever, in this way (2020 selected)",,video,25,135bba7f3499fef85f528c79f13bfe85326d1d4d9ab1b9e108ac431735d18e55,https://cdn.feralfileassets.com/previews/231fa61b-eb94-40d7-9a5c-0d5c7e94f1ed/1627666801/compressed.mp4,200,video/mp4
the-long-cut-bqv,252527ee-2232-45e0-9ead-27379ff26219,Abstract Oracle Miner 0009328437,,software,18,19e85e674f633245ee293e75a537b01ae74df84695fbfe949610871d1fc50f5d,https://cdn.feralfileassets.com/previews/252527ee-2232-45e0-9ead-27379ff26219/1627998769/?edition_number=2&blockchain=bitmark,200,text/html
the-long-cut-bqv,2d1f1330-d66a-4e9e-afd6-c17e5e55f2c4,"In endless flow of absolute truth, there are innumerable relative conjecture.",,software,24,171a566d3e08013d95cfaf585d15b953e1b27e1408522f14bb69de34dfd739b3,https://cdn.feralfileassets.com/previews/2d1f1330-d66a-4e9e-afd6-c17e5e55f2c4/1627893099/?edition_number=45&blockchain=bitmark,200,text/html; charset=utf-8
the-long-cut-bqv,5472181b-3d22-436b-88fb-bb3e07fa073d,Satellite,,video,24,163699442f23a8c1fa35ce332eac960ea472a63e04547745552186a8bef96786,https://cdn.feralfileassets.com/previews/5472181b-3d22-436b-88fb-bb3e07fa073d/1627539250/compressed.mp4,200,video/mp4
the-long-cut-bqv,78850fcd-afca-4757-a9c6-9c847cb3c49d,The One Who Lived Yesterday,,video,22,1d5f515c8ae6835f25ff421a952b62c3d747aba71c32fbd9f922d65bb19771ef,https://cdn.feralfileassets.com/previews/78850fcd-afca-4757-a9c6-9c847cb3c49d/1627351315/compressed.mp4,200,video/mp4
unsupervised-sla,29b720ff-fcbf-4467-a53d-e79a90ad0d60,Unsupervised — Machine Hallucinations — MoMA,,software,1,0c11960809c91528105fc5d910bc26c4563eac4da30fd5b489535cdd5c295b98,https://cdn.feralfileassets.com/previews/29b720ff-fcbf-4467-a53d-e79a90ad0d60/1637059159/preview.mp4,200,video/mp4
