cid,label,ipfs_io_ok,dweb_link_ok,ipfs_feralfile_com_ok
bafybeidtiywaimofnd5hpqjkfdmycfqqj5vpglh5wvmxtvv7b2cpv754qy,bitmark-era-series: Daemon (cene),ok 200 text/html 1.1s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeiazohczudfjrdebq3oq5zgbtaxw3lcrc6o7mezvyu5txc5w6lmdjy,bitmark-era-series: Bindigrl,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeigxyznfndn4oq6ugjjkyit3dubuhao2pqu5qrr4ft77u6wkyziknq,bitmark-era-series: uneasy dream,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeibisamrcykrgb7q4txzdddmofqnpkhbnz54pobqttddu3sx4x6qey,bitmark-era-series: (The illusion of) depth of knowledge,ok 200 text/html 1.3s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiawppq5i47xhmoqt6fye7y2z6ad3tn7zhn6cdtilxenkex6wprhvq,bitmark-era-series: Puzzle,ok 200 text/html 0.8s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeieybj2u7lfl6yccux7fi3b7povwubuttjyqz6dxhbhjikrju44yui,bitmark-era-series: Social Capital Fights,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeihhk7saxmepmzykc5fkuvqneelq5vcut7p6gjcbuhy6bapx7szdze,bitmark-era-series: 36 Points #26,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeidzh42sgs5c7b752ejo5qy72yfhnic5e6p4xef53ewkcheigabaqq,bitmark-era-series: I Don’t Need an iPhone,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeidjvuuqd4rcjdqrk3u4z2urjsu5zdbehsww3gntwft7o6elueciqu,bitmark-era-series: Emergence,ok 200 text/html 1.1s,ok 200 text/html 2.8s,ok 200 text/html 0.9s
bafybeihgtuqckjlmwlrt6443nuse5qis4ricbfhr3eqhvzelkhfaybr3tu,bitmark-era-series: 36 Points #02,ok 200 text/html 1.3s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeih6qo7lin5btznnkyzund4tf5smuc7dfwkqlhqtpcaz35orcfymam,bitmark-era-series: Tapestry,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeickuux7rjvdfppzz7elpr2j22ob4dzj5puukuizn22g6mhvxsfigm,bitmark-era-series: A Rose by Any Other Name,ok 200 text/html 1.0s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeicekxy4c4ftpcwtljf2tjyfm5op5jgtnep3y3r3ddnor7owf4mcwm,bitmark-era-series: The Future of Your Digital Space,ok 200 text/html 0.9s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeibiuacko6m3mu6kiqar77t2gr74kwgvo3tbslzekoh7gewkvqkjaa,bitmark-era-series: Sketches in Iron,ok 200 text/html 0.9s,ok 200 text/html 2.4s,ok 200 text/html 0.9s
bafybeic4rofxoonb3izbevqnvd5lgeehxer6u5thee2h2eehuwfynz6ujm,bitmark-era-series: Kiki.object,ok 200 text/html 0.9s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeice7up3tvdszmosb6efryeitgijbclsa5schmwbum2js5m3ifzbfe,bitmark-era-series: Picnic 002,ok 200 text/html 1.1s,ok 200 text/html 2.0s,ok 200 text/html 0.9s
bafybeigsivruuabqti5uhzch4mbghzmzlia6y6xpq2fv4rhg2lmtruxugu,bitmark-era-series: 36 Points #30,ok 200 text/html 1.1s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeif6cp53jrc2kfqjvm5kxk7mszp333h2z2miwduj7kswgdokks7jti,bitmark-era-series: Rose,ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeigve2vxjndo5otog643oldxirwhkrisb2z4g5tjfi62mb5jzg6yuy,bitmark-era-series: Infinite Entropy 17,ok 200 text/html 1.3s,ok 200 text/html 1.7s,ok 200 text/html 0.9s
bafybeigfviaq4me5kn3t7scd727r2prtd742xncx65b7b2aqt7ojw5z7ni,bitmark-era-series: Cyberflesh Girlmonster-4 Recuperated Stills,ok 200 text/html 1.2s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeietdmp4qqz4ff7ap6udg55ojdd4a7yrsvfgh7fjc23t3h4zf2htae,bitmark-era-series: 36 Points #04,ok 200 text/html 1.2s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeiecs6igub4xpl3oy6h32b7hianrat45bgd73w24hbf3l62ywcvxci,bitmark-era-series: Every Icon: BlockPrint,ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeigohkc5ahfmgvlrsauenotffqbqaiyqf72ujk3utxhkzm423wwjwu,bitmark-era-series: 36 Points #07,ok 200 text/html 1.3s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeic23crmkvj65cr3gcdwggibvgrr57yholog5r2x5mzjo5k5vngkq4,bitmark-era-series: Malade Imaginaire,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeic2xk2bmtz2omz2jy4sybtltbxwznzp6ozaokmmdwgcp3pj5ro7pm,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — C,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeibxl7dmpqczx5y4axxoqmwjjl3yiair33pteooif6os4ub5hcjfjy,bitmark-era-series: D. Flagellum,ok 200 text/html 1.3s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeic6ux6ijptxx7p56i7ubgio22iarydn7o7ryiodrs4427aylsrc7e,bitmark-era-series: Putins a WASTEMAN,ok 200 text/html 1.1s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeiava7peexwfa2zul3wxlajtxpdaesdtjtpmdpkhm6w3gobmsjmct4,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — E,ok 200 text/html 1.0s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeibcfdvmxnn36wal5pddhahpcj6paith2nalvhpj6dtpkinewwygka,bitmark-era-series: Marine Emojidiversity,fail: HTTP 504 28.3s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeiajtkalsbb6pop24ajc3gyylquwhgacspxib4bhjbohevznvlxtke,bitmark-era-series: Environment,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeientzsntutw3ws36zdngk44d5ytz65wmfism4mevsagcmrf3ox4i4,bitmark-era-series: Blue Veil,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiguolfo5yzqen7qalxv5mngx5z7rgfdfvqhl5u2bi5otnuel2awg4,bitmark-era-series: Floralia II,ok 200 text/html 1.0s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeifwrphc6svbetx6ecur4f4cciyrbrf7yjz3gubachnyslqv46753a,bitmark-era-series: 36 Points #28,ok 200 text/html 1.0s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeihpeprynlanyswuitig5hks23rp4d7c3ojp3gkd4cbj6dxvuebt64,bitmark-era-series: 36 Points #13,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiedt7lyjplpmmgdjktphfmruny77v5rjuks43ooj4zs6ozgslo2yy,bitmark-era-series: ماه طلعت، Moon-faced,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiapw6myktxzvtsytqs3jrodfjgpzivcwxvzaz33kk5eda4iutqevi,bitmark-era-series: Temple Lily,ok 200 text/html 1.2s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeiej3lesjwhtldycq443en7bx2wzri76whtznlpypnjtss432ohu3i,bitmark-era-series: CHERTI,ok 200 text/html 1.0s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeihaz7fqji5f7a2w3cevq5cw45puqbsgsuqh2gkzielig6qiuehrha,bitmark-era-series: 24/7,ok 200 text/html 1.3s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeif6xns3qhmvai6g2h6dfo46ihigu3wucnkdk57klt76d7g4l4gsle,bitmark-era-series: Infinite Entropy 9,ok 200 text/html 1.2s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeievbllpvqitrta627yl6awnieonat5fpexydkfezz6pm4cg2fnpvy,bitmark-era-series: 36 Points #31,ok 200 text/html 0.9s,ok 200 text/html 1.6s,ok 200 text/html 0.9s
bafybeiaevw2mo4yj4uc7ftnezka7zguwqsb7iduc5buhy6xlomadvjppry,bitmark-era-series: Rewilded Topography #1 ,ok 200 text/html 1.4s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeig6rcf2u2ei3p7qjzc47c6j4i43d4kk2vct2peyoasw2knqw4pd7q,bitmark-era-series: Hypothetically Macro,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeics72asrmvgajudujcpc4mz3oprzfjgayls5yb54hqqfbbefwmipa,bitmark-era-series: Neighbors,ok 200 text/html 1.0s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiauc3rxmakxayejpeq5yss4clapfcci74jby7hf2m73anjzbvtt4q,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — A,ok 200 text/html 1.2s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeieehrcp4bqilppgnaj45auvrtg4v4rwj5dlycdmzpi24tihl45fyu,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Fluid Dreams,ok 200 text/html 1.2s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeie4qnsnkvjho73vptbxwrki7oxx3e26falu6r2qfqlyrhbunps4zm,bitmark-era-series: Vague Recollection,ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeihm6vz6ipaptke2pyda4fdqs62gymrtvvwwpwj24fsvn5ahuodfqy,bitmark-era-series: 36 Points #32,ok 200 text/html 1.2s,ok 200 text/html 1.7s,ok 200 text/html 0.9s
bafybeibtidpltkb33zzplqgpgrda7viurn4yhydnus3g5kxlc4xfi7vh6y,bitmark-era-series: Model Illusion,ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeig5cxrfb74enus44qipxl4ihwpiptwfnja6waa4s5vwzkvnx7vrhq,bitmark-era-series: neural swarm,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeihjkbcyfatatmkrpwxsf4wuomwuiz3xodvevrdq637ihv72thogpe,bitmark-era-series: In Search of Your Digital Self,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeihinh2dkpuduhdr626quxlzemw5cluftcrmthdwe3eb6s2fdgb2oa,bitmark-era-series: Every Icon: BlockPrint,ok 200 text/html 0.8s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeidacnfic5rhudbkulbkihtbm6y2jdkec7y6bflomd2ua6l7jtnn24,bitmark-era-series: Infinite Entropy 24,ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeibitfclh2suz5ql5t4to42qlhhj3elmdiqkeh2doiwtpbj26beuuu,bitmark-era-series: 36 Points #20,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeievbvlqss4rg7qx3x3dns66rfsz4rayh5eer2hm2xusv7uolub7yi,"bitmark-era-series: Fragments:30.2051 N, 90.1121 W",ok 200 text/html 1.1s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeif2sbjbzt54ue3opszbyg2cq4w3x757tybdayejihl2vdiluwunmi,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — F,ok 200 text/html 1.1s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeih2zze4nhv4fifj7bazsdndlooxwst5o5con7chcglsdlvdz64rgm,bitmark-era-series: 36 Points #14,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeifgbobdoee74dfoxtodgmi3o3ov3xqspbs76f6cirdxjqds7ykgyi,bitmark-era-series: 36 Points #06,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeiawrkxqiht7iyqkt3rljwcmmau52mvkaclojeziqoigcx775mdetm,bitmark-era-series: Unsupervised — Data Universe — MoMA,ok 200 text/html 1.0s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeic5h4j4jmfxylujkstwkbf4p7iahgavdywm632istqpg7rxx7fque,bitmark-era-series: Blooming Valetudinarian,ok 200 text/html 1.0s,ok 200 text/html 1.7s,ok 200 text/html 0.9s
bafybeie6lzmdqpe37wetks7ve7y3frpkchdkhag4apdnjcoojblipz5sla,bitmark-era-series: Chaos Blocks,ok 200 text/html 1.4s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeic3aawt2dt45x5q3meex3azvp7gs2xsyuz45rmx7tvinajdms3tfe,bitmark-era-series: Aufgezeichnete Luft,ok 200 text/html 1.0s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiet5epjhrkoatc6bvg2djbiysbq66o2anranjkyzycuhu64haxyhe,bitmark-era-series: Slipstream 001,ok 200 text/html 0.9s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeig3bmwlzbqdr4qmne4y7ylg4jzwblx6lqiwrudpbatylxycf5ovgi,bitmark-era-series: 36 Points Display Edition,ok 200 text/html 1.1s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeigtt4moe32rr7gu4oqy4gfmhpj4zf7lsmxbmvkofdscnz7jezo7wa,bitmark-era-series: 3 ORBS,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeiashvfbhybrvsgjo37vcbhw6h4i2ucqa7347pay5wb2zr2kjajwuy,bitmark-era-series: Glissbob,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeidhndufg74y7igurso346l34dg5cxyk4k6cx4dvh42vvhg2bzbe3a,bitmark-era-series: Infinite Entropy 3,ok 200 text/html 1.1s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeihcwkgikgqx444pv6omzt7vdjzqmiqrbidw7vxo3csvhmrebyrhg4,bitmark-era-series: Loner,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeih6jdk6c7iz7bxdbnw25ra4z7nr2gwpinlgzqnd2vhbut466hocsa,bitmark-era-series: Infinite Entropy 22,ok 200 text/html 1.2s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeidn3vuac4eiyqa5ug5pkdkan3xp22hvqzcskkusk3pnxdqood4f5q,bitmark-era-series: 36 Points #24,ok 200 text/html 1.0s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeihkgvv7l752qcpdi47v77wtzwdwufebl2spukhm2avcjyz54birg4,bitmark-era-series: TimeTravellerTM Trailer,ok 200 text/html 1.1s,ok 200 text/html 1.6s,ok 200 text/html 0.9s
bafybeicoxwrcpi2tr63ebywwk5rfpdync72rrxkyy4ymtwitnyl4icrgsu,bitmark-era-series: Infinite Entropy 16,ok 200 text/html 1.1s,ok 200 text/html 1.8s,ok 200 text/html 0.9s
bafybeigv2puw2ximac36gyghvv67tvdm7prjmkff3742thjieirbzukpgm,bitmark-era-series: Mommy Wow,ok 200 text/html 1.0s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeigxnjbnsvu27zq6diy2kntnyemk2dsdg5ydyibpixr75tols2t55e,bitmark-era-series: 36 Points #29,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeifiqu2kpctqlsefgjo4tlgavi6t45wz4qhiur6sf3yw262amuccq4,bitmark-era-series: Solstice Sky Dream,ok 200 text/html 1.0s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeiap4hionam65txvvbzvk5trk6cydzwjm7yfkbzkbprnm6x6z25kru,bitmark-era-series: What do you want me to say?,ok 200 text/html 1.1s,ok 200 text/html 1.8s,ok 200 text/html 0.9s
bafybeia6h53xfyi3ght27ojg5x4qk6wucmtldr4pis4nlkij4gjketbiru,bitmark-era-series: Patterns of Activation (gardens of the galaxy),ok 200 text/html 1.2s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeiat3o2cd3two65t4ai4m6iacrzio5kxrkp7cfisrw53ba4r4ca3l4,bitmark-era-series: 36 Points #33,ok 200 text/html 1.2s,ok 200 text/html 2.0s,ok 200 text/html 0.9s
bafybeicemfddfrldlz7u3her7d23rotfgujjbpqkzfrpkbvm2dg2sb4u6i,bitmark-era-series: 36 Points #05,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeicuxvu74piuhpkmld333qjmknqlnplzgudl67rvppmupwgs6fs5wa,bitmark-era-series: Fractura,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeia3khfqwo55ldrbnhtywih2zypqnwsursmdaanvve2lfkhxsyvvbi,bitmark-era-series: Picnic 001,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeigkppmsp2c4lyedoprdb6izltpouk3ywuz3f5gwulexlfplp2rrsa,"bitmark-era-series: IKU: Expand, an interface",ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeihmp6yyugpztxujedettnssphom2hsluhlvk2k2xgxlbq3pdq2xxy,bitmark-era-series: 36 Points #01,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeieoft34zixtyvma4bsozefetikcp4wuh77yabdycv5ae6u6w6zc6y,bitmark-era-series: Mirror Arm,ok 200 text/html 1.2s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeigpb2o5axk4h5uo7flhss7qbk5gvqye3eme7zbphagjknmn5qtxxy,bitmark-era-series: A la recherche de l'information perdue,ok 200 text/html 1.1s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeib7mpj6as3blyxvzmr5vtykcmccfa5jlco62nvw7j3whkubmoka34,bitmark-era-series: Infinite Entropy 6,ok 200 text/html 1.3s,ok 200 text/html 1.9s,ok 200 text/html 0.9s
bafybeiesrktgfogq73eti5wp56g76gsqtggrnuabtrbauusohwamuodcnq,bitmark-era-series: it's a matter of perspective,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiawycz3flztfssluvmezuonbs6ttid4s5e5qbgzl7blpxxqjihjt4,bitmark-era-series: Movie on 06-03-22 at 1.00 PM,ok 200 text/html 1.0s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeihuuv44w6lmh6qngjo46ykmwyxw2cr2ptovsnv7gfuneqvwsgrv3q,bitmark-era-series: Infinite Entropy 18,ok 200 text/html 1.0s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeid3oolfuq6ehl65zskasluwazkvigdtytktbo65wxi4ynpzj7xqae,bitmark-era-series: Neonumens,ok 200 text/html 0.8s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeicdnesa46ttad3ebst4c53qstpygwhwgwr6l6ricnsecdlm4etijy,bitmark-era-series: 36 Points #09,ok 200 text/html 1.2s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeicpzu5662p244agrni3dowebgnnidlcjmt6yxmfk4bp4r2zc5zn2y,a2p: a2p 1.0 media (art-trading-assets-preview-livenet),fail: HTTP 504 28.4s,fail: HTTP 504 29.2s,fail: HTTP 404 0.5s
bafybeifvvqoomhreylzrkm3f25oymfv4brp4wy2pxiaywm4i2huu6vrrje,a2p: a2p 2.0 media (art-trading-v2-live),fail: HTTP 504 28.4s,fail: HTTP 504 29.9s,fail: HTTP 404 0.5s
bafybeifc7skzcg7ivlsl5g2kusnf5izwgdwg4dbcgly3uhz7ir3t32olgi,a2p: a2p trade originals (trade-art-trading-livenet),fail: HTTP 504 28.4s,fail: HTTP 504 29.1s,fail: HTTP 404 0.4s
QmQeLXYbeB5kzoZQhLwoRhSaXAovc6Kp9didBasVDRuVHe,bitmark-blockchain-archive: chain archive metadata + data,fail: HTTP 504 29.0s,fail: HTTP 504 29.2s,ok 200 text/html 4.4s
QmUTivb8fhJyNF1MvPXU1swyc8Eonf9eTeVm7uxPkiKaxK,bitmark-blockchain-archive: Merkle proof file,ok 200 application/json 1.6s,ok 200 application/json 1.3s,ok 200 application/json 0.4s
QmRGwoEnB4inboActrRsNAEiJzXL8LUwLrCYcUCgAEBxMQ,hls-master-playlists: FeralVerse master A,ok 200 application/vnd.apple.mp 0.2s,ok 200 application/vnd.apple.mp 1.4s,ok 200 application/vnd.apple.mp 0.4s
Qmf8bvobDWMTmauvhgFKWNhZKUe4ufDY16a6qk1KLSgM74,hls-master-playlists: FeralVerse master B,ok 200 application/vnd.apple.mp 0.3s,ok 200 application/vnd.apple.mp 1.3s,ok 200 application/vnd.apple.mp 0.5s
QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,hls-master-playlists: On Screen Presence master,ok 200 application/vnd.apple.mp 0.4s,ok 200 application/vnd.apple.mp 2.3s,ok 200 application/vnd.apple.mp 0.5s
bafybeiaix5orbepkcgbazsowl6fztmp2ys4djbhr47d2noffq6rndggbkq,aorist: aorist ng-models,fail: HTTP 504 28.6s,fail: HTTP 504 29.3s,fail: HTTP 404 0.5s
bafybeihgqym3ymlrowvt7dodxozcznijbtrnaowg5ynn246pj4m7x3g67i,aorist: aorist ng-images,fail: HTTP 504 28.4s,fail: HTTP 504 29.4s,fail: HTTP 404 0.5s
bafybeicitng5nvk76sj422ankbf7vh4hp5t7w2jzw5r5hjcasqv2i45cwq,aorist: aorist ng-art-ipfs,fail: HTTP 504 28.4s,fail: HTTP 504 29.3s,fail: HTTP 404 0.4s
bafybeigeflcxy7ychcfrdlutspz4xdz7lkfudwrrg5vxz5qemowqdbufl4,aorist: aorist ng-art-env-02-s3-bucket,fail: HTTP 504 28.5s,fail: HTTP 504 29.6s,fail: HTTP 404 0.4s
bafybeiea554avuft4j65pfo6s4vw24ikzlxwraavqmxtam2qialhb3abfy,aorist: aorist ng-aor-ipfs,fail: HTTP 504 28.4s,fail: HTTP 504 29.3s,fail: HTTP 404 0.4s
bafybeicmn4vlgjtuuewwrh3vkz3tom6rejykb7inyzbpqphjvjhy4gubjq,aorist: aorist ng-videos,fail: HTTP 504 28.4s,fail: HTTP 504 29.3s,fail: HTTP 404 0.4s
bafybeidfatg5fydti6ayrbjw2hvt4r76buugzdp4djwgoh53ojl7pd7xqq,aorist: aorist m-original,fail: HTTP 504 28.4s,fail: HTTP 504 29.2s,fail: HTTP 404 0.4s
