cid,label,ipfs_io_ok,dweb_link_ok,ipfs_feralfile_com_ok
bafybeify2zeabtidvqlg4msnjjm2yndnga6vmh54zmpho4irz442fh5ll4,bitmark-era-series: k.f0,ok 200 text/html 1.3s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeiacgr4nlmieo6smcapcguxzjy3bjbtkjfu3ozsiwiqwymvmwvgovm,bitmark-era-series: Shimmer,ok 200 text/html 1.2s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeicobys42tsdhkig5qbdrc27ehrqko7vy6ejnssor72ngapxpaviei,bitmark-era-series: Butterfly Cosplayer,ok 200 text/html 0.9s,ok 200 text/html 1.7s,ok 200 text/html 0.9s
bafybeiewbci54mcuxaf3tkeqv6rj7valvj4sw5pinavamvunaxixbophme,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeieqpbnvqdkcxivywoum6dsxtb5ciehowhhpwotmydm6j3m2rwmjb4,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — I,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeia6roqxnxhix3243fgcokjpotiwr6vdqwpowdultwvg7rwgcbfklq,bitmark-era-series: The Mystery [v5-dv1] ,ok 200 text/html 1.0s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeicsco5e2lkbyvgaqmymxyc5xguseo5trcedb4skcrwihg3bx6rrw4,bitmark-era-series: Transparent Grit,ok 200 text/html 0.9s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeiciq4woo2bmlcrdg4h2frlv4izmpvuwfnq5koqdj2hbrt36m7z32i,"bitmark-era-series: In endless flow of absolute truth, there are innumerable relative conjecture.",ok 200 text/html 0.9s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeigplv3szo3unblyj2gpcohxc743fbod2jhlppvinsxn6dyi7z35uq,bitmark-era-series: 36 Points #10,ok 200 text/html 0.9s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeidhblkpai7wkafvxc7ekr7eltya5w7jvj7m42vqpeurjpnk6mfvbi,bitmark-era-series: 36 Points #08,ok 200 text/html 1.2s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeigdm767ngpdhm3oz4tlizqyvnyrhrqwjxd6lrdgduprz3syq5hzqi,bitmark-era-series: Infinite Entropy 13,ok 200 text/html 1.1s,ok 200 text/html 1.6s,ok 200 text/html 0.9s
bafybeibhvwrgqdd3agtmi5alejzklrdwewf4v6ag325gxaixvla7vjp5k4,bitmark-era-series: MAJLIS AL-JINN: Huma + The Archive,ok 200 text/html 1.3s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeignug5bwyrd6gjat3qvny37v4c4padxupmzbya4ardqv6mwq24pja,bitmark-era-series: Umwelt,ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeigzh5ry3tosiqsmhqmfs4jmhlq4l6aoxy2kjtlqk5tihg45elbmsq,bitmark-era-series: Infinite Entropy 20,ok 200 text/html 1.2s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeiax7cme5qagnacgabj5le3frhg4goplxzgyoncmxx2iin7lysa2a4,bitmark-era-series: Slinky Dog,ok 200 text/html 1.0s,ok 200 text/html 1.6s,ok 200 text/html 0.9s
bafybeib5mbnyh3s3pbpoophkn5if3nfcaljhxgomtizzij6e4i6skywuve,bitmark-era-series: Ganxillo,ok 200 text/html 1.2s,ok 200 text/html 2.2s,ok 200 text/html 0.9s
bafybeigg55usboqwovt2hdtg3dhjcjsxj2ty2fka7ogde474qmarynpmqi,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — G,ok 200 text/html 0.8s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeidh5i7bp3xoqyldjjbob5mc4jyxxcupoaacirdbceh3sepxepkbiq,bitmark-era-series: smoking-vase-1,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeicllvhrbufjx3mmckamacmbmj5zulwc7pikyoizc7z5v65orexdga,bitmark-era-series: CUSP - Marsh Birds,ok 200 text/html 1.5s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeicyr67aors2ppetayopqpcn42em5v4dpeo56ki65fsnjaej7c3tpm,bitmark-era-series: Lamia,ok 200 text/html 1.3s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeiamizldgiapenyoyulhpvxcx6hhgprpx7nj3wshp4xynxxqbtb3f4,bitmark-era-series: Infinite Entropy 23,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeiaj7oththdzkzs6zjwseh4a625f2rzmqg3tts36ugjad6h56pl6eq,bitmark-era-series: 36 Points #34,ok 200 text/html 1.0s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeieqvvxxamxzzf7jkg3s2q75ywqwaciv66s24iiychxys63mnfld4y,bitmark-era-series: 36 Points #23,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeigtcztnz3tv3v4jnavliz4prfkzseyuokf2vglbkulctgqp3jumti,bitmark-era-series: k.a9,ok 200 text/html 3.6s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeicbg4xiensgxclzhzmejtahye6broyfb5ru7gact7h6hajrqljd4y,bitmark-era-series: Infinite Entropy 19,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeihhbbixxlc3phvir4as6y54t5d777lo6fr3272q5bcuaj4ilj2mpa,bitmark-era-series: Vectoria,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeif4jcuviufllzgduwbmmx7w7vilccczzqu7rrqtoxyd5p7w2jfeya,bitmark-era-series: People Pleaser,ok 200 text/html 1.7s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeierrxf7ih34ahwnrvjay46fv76iw5lmqdu3f3pq6mozuzfzcityo4,"bitmark-era-series: Spectrality (from The Divers, IX)",ok 200 text/html 1.3s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeic257wji377535f6wj5ain2fuwhw3wsf37phn65rsbuxrqw3ppnma,bitmark-era-series: Infinite Entropy 11,ok 200 text/html 1.2s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
