contract,token_id,exhibition,n_cdn_rows,resources,urls
0x2a86c5466f088caebf94e071a77669bae371cd87,114509197042641126982266828896949519237122822493274123627313583916128762606685,48a442ae-3003-483e-b107-e9d37ae694bc,1,image,https://cdn.feralfileassets.com/previews/82115197-d516-4bd8-8498-227aaf30eb12/1663731416/preview.png
0x2a86c5466f088caebf94e071a77669bae371cd87,114509197042641126982266828896949519237122822493274123627313583916128762606686,48a442ae-3003-483e-b107-e9d37ae694bc,1,image,https://cdn.feralfileassets.com/previews/82115197-d516-4bd8-8498-227aaf30eb12/1663731416/preview.png
0x2a86c5466f088caebf94e071a77669bae371cd87,114509197042641126982266828896949519237122822493274123627313583916128762606687,48a442ae-3003-483e-b107-e9d37ae694bc,1,image,https://cdn.feralfileassets.com/previews/82115197-d516-4bd8-8498-227aaf30eb12/1663731416/preview.png
0x2a86c5466f088caebf94e071a77669bae371cd87,115153310228114666588851347772754489107974000689653741321876665973855418043401,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668713764/preview.mp4;https://cdn.feralfileassets.com/thumbnails/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668903870
0x2a86c5466f088caebf94e071a77669bae371cd87,115153310228114666588851347772754489107974000689653741321876665973855418043402,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668713764/preview.mp4;https://cdn.feralfileassets.com/thumbnails/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668903870
0x2a86c5466f088caebf94e071a77669bae371cd87,115153310228114666588851347772754489107974000689653741321876665973855418043403,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668713764/preview.mp4;https://cdn.feralfileassets.com/thumbnails/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668903870
0x2a86c5466f088caebf94e071a77669bae371cd87,115153310228114666588851347772754489107974000689653741321876665973855418043404,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668713764/preview.mp4;https://cdn.feralfileassets.com/thumbnails/c601cac7-6a3b-410f-baa2-a86f4a6be10d/1668903870
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239529,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=0&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239529&token_id_hash=0x762a02a969817d1b1c4995b5585cdf86acc21fe62b286da95ed1dc7d986a41b4;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/0-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239530,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=1&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239530&token_id_hash=0xe8f44ec2b80344f67be93fc86f8c93aa523d532e464b61268c980c677492849c;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/1-large.jpg
0x2a86c5466f088caebf94e071a77669bae371cd87,15042014439770355205730296321097090521853295916950766059900103364979980239531,48a442ae-3003-483e-b107-e9d37ae694bc,2,animation_url;image,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=2&blockchain=ethereum&contract=0x2A86C5466f088caEbf94e071a77669BAe371CD87&token_id=15042014439770355205730296321097090521853295916950766059900103364979980239531&token_id_hash=0xdb78887abfbe370c899108567f3b952dce0d257c31cb28868cb54833db417ec6;https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/2-large.jpg
