contract,token_name_contract,token_id,http,name,collection_name,collection_uuid,image,image_class,animation_url,animation_class,error
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000040,200,Reflection #40,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000038,200,Reflection #38,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000037,200,Reflection #37,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000036,200,Reflection #36,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000035,200,Reflection #35,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000034,200,Reflection #34,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000033,200,Reflection #33,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000032,200,Reflection #32,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000031,200,Reflection #31,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000030,200,Reflection #30,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000029,200,Reflection #29,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000028,200,Reflection #28,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000025,200,Reflection #25,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
0x22fd0c0c719745742ee4c822bf16e03bbb421305,Hall of Visions by Pilar Zeta,46000024,200,Reflection #24,Hall of Visions by Pilar Zeta,6198c540-8e2c-5077-b63f-31c5ab58e623,https://ipfs.feralfile.com/ipfs/QmfBAfswJ63CUSiwUJzMS7iZ9ca2APMkrZA6TsoHBdvGFM,ipfs,https://ipfs.feralfile.com/ipfs/QmZ788UFwUUjqh2wMDNBXjea5ML4hTUMSXUatzeggcwJko,ipfs,
