id,vendor_release_id,vendor_release_slug,name,total_mints
1726,f56c905f-1a43-4759-b110-a684805ac2b6,marina-zurkow-vlh,The Dorises - Oystercraft from silicon to saltwater,93
1727,de8b2c0b-e057-46b9-9650-a6455066bd5a,planet-hibiscus-ysn,Planet Hibiscus,50
1731,3ad37701-9935-438e-8a9c-9dcadab429a6,with-you-9nu,With you,65
1759,5810d154-74d0-4933-9073-554beaae1baf,cities-and-spaceships-knv,Cities and spaceships,50
1770,9d72a792-cd60-40b6-a8aa-59bc41a9cacb,social-capital-fights-vci,Social Capital Fights,80
1771,0b221b59-2dfd-415e-9db7-0d580cb0c0da,untitled-lpa,UNTITLED,50
1774,e6041b92-79ff-4ebe-a9b1-b9e7b089046d,blooming-valetudinarian-mhq,Blooming Valetudinarian,100
1795,94f4a7aa-833f-44fd-8047-101faee9cb4d,blonde-braids-study-ii-t8d,Blonde Braids Study II,50
1796,91eda99c-03a0-4821-9726-eb9c31e12ab4,stephanie-dinkins-cut,Okra Continuum,93
1797,d137c01a-2c3b-427e-8de4-a7e5677aaeda,hypothetically-macro-oer,Hypothetically Macro,100
1798,49766925-db57-4be6-956d-af5aaa26cda5,perceived-xyj,PERCEIVED,50
1800,f5f51874-1c4c-42f8-9433-423fd791d6a8,iku-expand-an-interface-8qr,"IKU: Expand, an interface",80
1818,949ddc52-1007-4f79-a355-e287a7b55fc6,factory-k0t,FACTORY,3
1821,bb118c17-1444-4c39-9587-64aa126d6f58,cyberflesh-girlmonster-4-recuperated-stills-8jt,Cyberflesh Girlmonster-4 Recuperated Stills,80
1825,434b4eab-f8ed-4e75-b80f-5377e08ca430,contested-zone-shc,Contested Zone,80
1828,f503f9fe-276c-4519-92b7-8a2239cfa489,fractura-zp9,Fractura,115
1865,f00cd40d-0fe5-4805-953f-9a52ff6da2ac,timetraveller-s8t,TimeTravellerTM Trailer,80
1894,053acd9a-2871-409b-a6e0-75a5c7ee2d06,gift-nft-2-to-those-who-attend-miami-party-8h8,Peer to Peer Launch Party Exclusive,
1904,c3b2c10b-91c6-4e2f-83bc-fcb5068e98be,unsupervised-machine-hallucinations-moma-dreams-c-hup,Unsupervised — Machine Hallucinations — MoMA Dreams — C,100
1916,19c097b4-c440-44e9-b6a8-eb97f3b4513a,sextape-lqu,sextape,115
1992,03c9301f-e338-4419-8830-3e790fdc936b,kubo-final-1ay,Kubo Final,90
2018,c328998f-27d4-496f-acea-7c971416110e,every-icon-blockprint-0ju,Every Icon: BlockPrint,100
2025,f3170ca8-2a0d-49ac-b307-d20fbfb15b0d,patterns-of-activation-gardens-of-the-galaxy-hhp,Patterns of Activation (gardens of the galaxy),115
2044,3110459a-bcad-4dd9-a43d-a0f1eaddc0f8,slinky-dog-lok,Slinky Dog,6
2045,25a0daeb-ec6d-4bfd-8a24-11c44beb5629,seizures-palace-xwz,Seizures Palace,90
2106,88397634-9974-40fa-ab9b-b9632410229e,chapter_3-42j,Study for Unsupervised,
2110,21a5bd39-64d0-490b-b578-6c6ecd317b7a,simultan-dub-yjl,Simultan Dub,90
2161,3a9f6d14-d53d-4d5c-b55a-f0e5793d5d0e,spectrality-from-the-divers-ix-kkw,"Spectrality (from The Divers, IX)",200
2293,69518c54-2bc5-4b90-b606-675529c7593d,can-i-go-where-you-go-zg5,can I go where you go?,75
2324,8711ddf0-0474-4a8d-a5ec-30c7f42977df,daemon-chaos-shj,Daemon (chaos),115
2355,faa504eb-868c-4134-a7b2-eef051b9abbc,its-a-matter-of-perspective-ey2,it's a matter of perspective,200
2411,1e0b019f-60fa-4ae2-96ab-78796310ce0d,time-to-grow-ezx,Time To Grow,6
2422,31bc21a0-c834-49a3-866f-d4839cbe14df,unsupervised-machine-hallucinations-moma-dreams-g-isd,Unsupervised — Machine Hallucinations — MoMA Dreams — G,100
2534,9841c727-f5c8-40e4-b995-0716eeff843f,daemon-cene-9tp,Daemon (cene),115
2548,15cc0e38-fabd-4529-907d-e71cf143ce85,beeldelementen-znk,Beeldelementen,144
2568,2998a10b-8ddc-4344-9f3d-710ab5ec9287,butterfly-cosplayer-5il,Butterfly Cosplayer,6
2570,25a3d5d3-43a6-495e-bf18-e0583fa11f72,smart-cut-aw4,Smart Cut,115
2571,3a13e193-725f-4a07-b5fa-51f36fc79050,people-pleaser-uav,People Pleaser,6
2572,adc4221c-4f00-4193-ac82-c4d9b1a0b681,kiki-object-3za,Kiki.object,200
2573,0ed50f6e-e7e6-47b4-9a32-7eb061751de6,beautiful-silence-g0p,Beautiful Silence,144
2574,f0cf5ba9-4d45-45a7-aafa-a340ccb1dca8,mommy-wow-nka,Mommy Wow,6
2581,921dce6f-5174-4d9e-9d6b-9ef26f628231,oscillation-ii-0wy,Oscillation II,144
2582,a187efae-f936-4363-8f77-61b650548144,i-dont-need-an-iphone-vld,I Don’t Need an iPhone,6
2630,e9aab828-96ae-4d16-b155-6bb9fded9f34,slipstream-001-nqn,Slipstream 001,200
2642,6bcc9b62-0ca3-4fdc-8232-0a3f2d4adf13,peep-o-rama-r4s,peep-o-rama,200
2677,edc8b7d3-e95c-4056-93d3-d29d1258195f,loner-dca,Loner,6
2757,93544620-dff8-4ae5-8194-3f527e8cc91e,contrafictionary-ze1,Contrafictionary,90
2763,79cb077a-355b-4694-a787-f023abf070de,wepotaipomasha-i-9ge,ᖴᗩᑕIᗩᒪᔕ I,115
2845,fd2cbf3b-152e-4ed1-b2ae-21f65b2e2d0f,movie-on-06-03-22-at-1-00-pm-doh,Movie on 06-03-22 at 1.00 PM,100
2857,87d406ed-010f-4b76-91a2-41bcec98f51a,colors-of-noise-rud,COLORS OF NOISE,50
2870,1b205395-6654-4174-b170-45c82866270b,count-zero-four-bnw,COUNT ZERO FOUR,77
2871,9ce5936e-a888-4302-a998-146823306098,puzzle-iw2,Puzzle,6
2873,cbdf21b6-9875-4060-85b1-75d966086c52,text-me-when-you-get-home-bpd,Text Me When You Get Home,144
2874,5eb92ed1-7e81-4b2f-a24c-8e2a67c085e8,lately-when-i-fly-dcc,Lately When I Fly,6
