contract,created,class,contract_name,token_name,tokens_onchain,in_indexer,tokens_indexed,media_all_ipfs,media_ff_cdn,media_third_party,source_of_media_audit
0x8ac67db7a4eebd437aef868180521b78a9e08911,2024-02-01,helper/test (not an NFT collection),AoristArt,,,False,,,,,
0x9d611547e79653c008f31462780fa2aa8838ce8a,2024-02-01,special-project (un-indexed),AoristArt,Breathing Language by Andrés Reisinger,2,False,,2,0,0,blockscout metadata + FF API
0x98beb1dc755571fd24408170b0cc26ac98137ecc,2024-02-02,special-project (un-indexed),AoristArt,The Smell of Pink by Andrés Reisinger,12,False,,12,0,0,blockscout metadata + FF API
0x86f66c89aab96cc08c5e360974f2a33e8521b88e,2024-03-05,special-project (un-indexed),"Coral Arena by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Preaud","Coral Arena by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Preaud",6,False,,6,0,0,blockscout metadata + FF API
0x22fd0c0c719745742ee4c822bf16e03bbb421305,2024-03-05,special-project (un-indexed),AoristArt,Hall of Visions by Pilar Zeta,158,False,,158,0,0,blockscout metadata + FF API
0x1080af531dacedc66a1911651e2b29506becfe33,2024-03-05,special-project (un-indexed),AoristArt,Mushroom Cloud by Nancy Baker Cahill,104,False,,104,0,0,blockscout metadata + FF API
0xcc063e7e05a7fef0fd9fa09e140c7899aa7120fc,2024-03-05,special-project (un-indexed),Jardins d’Été by Quayola,Jardins d’Été by Quayola,3,False,,3,0,0,blockscout metadata + FF API
0xdb8acab6e01a9a217f9cbb377510231045a24d5c,2024-03-05,special-project (indexed),,the-adventures-of-minoriea-by-auriea-harvey,4,True,4,4,0,0,indexer origin_json
0x5ca5789de0e9aac2a5de5689064727c4d1cd5e6f,2024-03-06,special-project (un-indexed),What Lies Beneath: Tipping Point by Carlos Betancourt & Studio Brasch,What Lies Beneath: Tipping Point by Carlos Betancourt & Studio Brasch,1,False,,1,0,0,blockscout metadata + FF API
0x3bcca9ea3836456a9a2eb27b051b0fa28614667a,2024-03-06,special-project (un-indexed),Arcadia by Arcadia,Arcadia by Arcadia,1,False,,1,0,0,blockscout metadata + FF API
0x78c08a730d63a14305c1b0cde46a9d6233f4d458,2024-03-06,special-project (un-indexed),STONE SPEAKS by Nancy Baker Cahill,STONE SPEAKS by Nancy Baker Cahill,1,False,,1,0,0,blockscout metadata + FF API
0x2ae96770e163b048eee28e73efb374b1303b207f,2024-03-06,special-project (un-indexed),Effets de Soir by Quayola,Effets de Soir by Quayola,8,False,,8,0,0,blockscout metadata + FF API
0xb1676ce832c0d47a39f79db7ad8698fcbd38cbb4,2024-03-06,special-project (indexed),,social-sacrifice-by-drift,1,True,1,1,0,0,indexer origin_json
0x69a7f2671598102331ccb44240f88f4b5f85e7e3,2024-03-06,special-project (un-indexed),"MVP (Generation 1, 32 versions) by Jonas Lund","MVP (Generation 1, 32 versions) by Jonas Lund",1,False,,1,0,0,blockscout metadata + FF API
0xe96ae79a97fc839a1ab7c6382cc8f547c43d1d71,2024-03-06,special-project (un-indexed),Sphere in Open Platonic Solids by Joanie Lemercier,Sphere in Open Platonic Solids by Joanie Lemercier,6,False,,6,0,0,blockscout metadata + FF API
0xa507077d630665334cd8dc62a5fa3614000e099e,2024-03-06,special-project (un-indexed),AoristArt,Coral Rd by Leandro Erlich,1,False,,1,0,0,blockscout metadata + FF API
0x1d9787369b1dcf709f92da1d8743c2a4b6028a83,2024-03-13,platform,,,,True,307,,,,
0x30f4d17bab0c815519c5d924ac4735be14eb25ec,2024-03-13,helper/test (not an NFT collection),OwnerData,,,False,,,,,
0xfd79fb1749b72f04a5a956d93182cf75c6667dcd,2024-04-23,special-project (un-indexed),ODYSSEY by Andrés Reisinger,ODYSSEY by Andrés Reisinger,7,False,,7,0,0,blockscout metadata + FF API
0x6906f2f1591e22ca320330712af68288efc2426d,2024-04-23,special-project (un-indexed),Jardins d'Été by Quayola,Jardins d'Été by Quayola,3,False,,3,0,0,blockscout metadata + FF API
0xcc08d6a573d05e34b34a0440982798db20b3df98,2024-04-26,special-project (un-indexed),"CORAL ARENA by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Préaud","CORAL ARENA by OMA/Shohei Shigematsu, Charlotte Taylor & Nicholas Préaud",3,False,,3,0,0,blockscout metadata + FF API
0xbe0a4e26a156b2a60cf515e86b3df9756dee1952,2024-06-18,platform,,,,True,9049,,,,
0xcbfaf4bde69c9b37835761e5228f9fe9e25b452f,2024-06-18,helper/test (not an NFT collection),FeralfileVaultV2,,,False,,,,,
0x3d62d2e75e2ef2a860235e3a46250011db70f988,2024-06-25,helper/test (not an NFT collection),,,,False,,,,,
0x81c882c59799ea442317d020c39174aaaa8d7fc7,2024-07-19,platform,,,,True,478,,,,
0xfed46f583c3f61a5b48882c5af56a94a5f096f12,2024-10-30,special-project (un-indexed),Artificial Natural History,Artificial Natural History,3,False,,3,0,0,blockscout metadata + FF API
0x393f21c615314a346c383cce4d708a8ee270a312,2024-10-30,special-project (un-indexed),[[chromatophores]],[[chromatophores]],1,False,,1,0,0,blockscout metadata + FF API
0x96f6ba69671e3cbc2b532727d892efd030548f0f,2024-10-30,special-project (un-indexed),Temporally Uncaptured,Temporally Uncaptured,2,False,,2,0,0,blockscout metadata + FF API
0x90a6ca6b6f7c3c1daf738b0780a4be9c6e7893cf,2024-10-30,special-project (un-indexed),Breathing Language,Breathing Language,1,False,,1,0,0,blockscout metadata + FF API
0x5cf20fb8a4451f24b2c915f8929b8aff999f1044,2024-10-30,special-project (un-indexed),Take Over Madrid,Take Over Madrid,7,False,,7,0,0,blockscout metadata + FF API
0xbcb540b58e4e2b0e41e68b26b9dceab4e3b4c993,2024-10-30,special-project (indexed),,take-over-miami,2,True,2,2,0,0,indexer origin_json
0xfa95bf4c4cb0f1cc6e86191218f89b84d03e1a59,2024-10-30,special-project (un-indexed),Collide,Collide,3,False,,3,0,0,blockscout metadata + FF API
0x92152733cec744c049ea7629f4cbd7af7c43c9f7,2024-12-19,special-project (un-indexed),FeralfileExhibitionV4_1,Artificial Natural History,2,False,,2,0,0,blockscout metadata + FF API
0xe4a36a09ee456aba9de430f0488a782c04f5139d,2024-12-19,special-project (un-indexed),FeralfileExhibitionV4_1,Neural Zoo,1,False,,1,0,0,blockscout metadata + FF API
0xa61459a983ee69e25082a2f8d934e89e04d8f158,2024-12-19,special-project (un-indexed),FeralfileExhibitionV4_1,Temporally Uncaptured,1,False,,1,0,0,blockscout metadata + FF API
0xb745a2cd00f7983c71134d6f713c4e8c003aff51,2025-01-14,special-project (un-indexed),Decohering Delineation,Decohering Delineation,1,False,,1,0,0,blockscout metadata + FF API
0x6b7f2e36f2c4044d8a87b66beac7aff59460030c,2025-01-14,special-project (indexed),,self-contained,1,True,1,1,0,0,indexer origin_json
0x5310590a5d73f79a564d00bbd38b87c3844eddae,2025-01-14,helper/test (not an NFT collection),SeriesIndexer,,,False,,,,,
0x8dae078b56ec37cdf4b71cffac21572cce8873ed,2025-02-10,helper/test (not an NFT collection),MerkleRegistry,,,False,,,,,
0xc3ecd59ba5ec8dd2865dffce7bc7c2b60adb62bf,2025-02-19,special-project (indexed),,a2p-v2,519,True,519,519,0,0,indexer origin_json
0x3892f76ba32c77a1a04cb0bcd848d9472d859716,2025-02-19,special-project (indexed),,a2p-v1,346,True,346,346,0,0,indexer origin_json
0xae80f4dab7ee6b2f1d85eccb0de8675720930438,2025-03-11,helper/test (not an NFT collection),SeriesRegistry,,,False,,,,,
0x614d5475fe81ef4b6dd8093b5c73efeee03167e0,2025-06-23,platform,,,,True,165,,,,
0xc26220de03166947e9cfc170a03da09ecc5b6465,2025-06-23,helper/test (not an NFT collection),,,,False,,,,,
0x8930d48776b7ff4797bf56f3c43f5bed43912aad,2025-06-23,helper/test (not an NFT collection),LibBytes,,,False,,,,,
0x10049dcae04c3f4b4afd9bebd96dba8adbaec170,2025-07-21,special-project (un-indexed),Neural Zoo,Neural Zoo,1,False,,1,0,0,blockscout metadata + FF API
0x115c9a6118bc7a3eb0abd30f6bcf1c45bb198aed,2025-08-20,platform,,,,True,351,,,,
0x67e3ad1902a55074aadd84d9b335105b2d52b813,2025-11-17,platform,,,,True,111,,,,
0x32c07ade321b90813220f5064842b1f34a59f322,2026-03-10,platform,,,,True,5,,,,
