contract,token_name_contract,token_id,name,collection_name,image,image_class,animation_url,animation_class,metadata_fetched,token_uri_hint
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016233,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #50",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016232,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #49",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016231,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #48",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016230,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #47",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016229,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #46",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016228,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #45",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016227,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #44",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016226,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #43",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016225,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #42",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
0x22e130a4ef1effddafdf0b9825dc03d83747664e,Feral File — Peer to Peer,111620246613695490106738849263862774922244140225367210165377389379116547016224,"Metaverse Landscape 1: Decentraland Parcel -81, -17 #41",,https://ipfs.bitmark.com/ipfs/Qmaf85GRkKqBeJMu4txNpwmQPFunvkjxR2ujnjY18aM2Tm,ipfs,"data:text/html;base64,PCFET0NUWVBFIGh0bWw+PGh0bWwgbGFuZz0iZW4iPjxoZWFkPjxzY3JpcHQ+IHZhciBkZWZhdWx0QXJ0d29ya0RhdGE9IHtsYW5kT3duZXI6IjB4MDE3N2JhMmFkMDVjYjEyZDZkZDYzNzk2M2UwNDAwOTI2NzZlZThkZSIsIG93bmVyQX",inline,True,
