contract,opensea_slug,token_number,burned,viewable,name,mime_type,enrichment,image,image_class,animation_url,animation_class,collection_name,doc_keys
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860695,False,True,METASOTO #55,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/57-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=57&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860695&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db497,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860702,False,True,METASOTO #62,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/64-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=64&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860702&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db49e,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860691,False,True,METASOTO #51,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/53-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=53&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860691&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db493,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860690,False,True,METASOTO #50,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/52-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=52&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860690&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db492,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860700,False,True,METASOTO #60,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/62-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=62&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860700&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db49c,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860699,False,True,METASOTO #59,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/61-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=61&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860699&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db49b,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860697,False,True,METASOTO #57,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/59-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=59&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860697&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db499,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860701,False,True,METASOTO #61,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/63-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=63&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860701&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db49d,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860692,False,True,METASOTO #52,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/54-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=54&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860692&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db494,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
0x22e130a4ef1effddafdf0b9825dc03d83747664e,,6385244413236652634082529095150015179100396338302512014117665775733882860703,False,True,METASOTO #63,,none,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/_unique-thumbnails/65-large.jpg,relative,https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/?edition_number=65&blockchain=ethereum&contract=0x22E130A4ef1eFfDdAFDF0b9825dc03D83747664e&token_id=6385244413236652634082529095150015179100396338302512014117665775733882860703&token_id_hex=e1deb96831f771033045ad3455b50278ee7e896de0fee86807f200a839db49f,ff-cdn,,access_artwork_files animation_url artist artwork_id description edition_index edition_number exhibition_info external_url id image medium metadata_version name royalties symbols timestamp
