dir_or_file,s3_prefix,n_objects,bytes,error
https://cdn.feralfileassets.com/previews/a6463015-af79-43cf-ab25-84074828ac4b/1667592704/,previews/a6463015-af79-43cf-ab25-84074828ac4b/1667592704/,57,137187661,
https://cdn.feralfileassets.com/thumbnails/5d67190d-28d7-493c-85c8-563c32de44ff/1666625198,thumbnails/5d67190d-28d7-493c-85c8-563c32de44ff/1666625198,1,257034,
https://cdn.feralfileassets.com/previews/5d67190d-28d7-493c-85c8-563c32de44ff/1667592434/,previews/5d67190d-28d7-493c-85c8-563c32de44ff/1667592434/,53,129921307,
https://cdn.feralfileassets.com/thumbnails/9c797f06-41e2-4aa4-abfe-489485bea17e/1666627857,thumbnails/9c797f06-41e2-4aa4-abfe-489485bea17e/1666627857,1,231808,
https://cdn.feralfileassets.com/previews/9c797f06-41e2-4aa4-abfe-489485bea17e/1667593413/,previews/9c797f06-41e2-4aa4-abfe-489485bea17e/1667593413/,125,162390804,
https://cdn.feralfileassets.com/thumbnails/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667601386,thumbnails/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667601386,1,390434,
https://cdn.feralfileassets.com/previews/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667599797/,previews/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667599797/,57,110948365,
https://cdn.feralfileassets.com/thumbnails/f15bce66-da54-4f05-bc29-7ef15202b0c3/1666625606,thumbnails/f15bce66-da54-4f05-bc29-7ef15202b0c3/1666625606,1,228282,
https://cdn.feralfileassets.com/previews/f15bce66-da54-4f05-bc29-7ef15202b0c3/1667592496/,previews/f15bce66-da54-4f05-bc29-7ef15202b0c3/1667592496/,57,113529724,
https://cdn.feralfileassets.com/thumbnails/cc86cf63-6b79-4bba-9613-e362851cbbdc/1666623515,thumbnails/cc86cf63-6b79-4bba-9613-e362851cbbdc/1666623515,1,417592,
https://cdn.feralfileassets.com/previews/cc86cf63-6b79-4bba-9613-e362851cbbdc/1667587386/,previews/cc86cf63-6b79-4bba-9613-e362851cbbdc/1667587386/,53,107723984,
https://cdn.feralfileassets.com/thumbnails/527a291d-49f5-4ddc-81f6-0331f9e08be9/1666731421,thumbnails/527a291d-49f5-4ddc-81f6-0331f9e08be9/1666731421,1,238644,
https://cdn.feralfileassets.com/previews/527a291d-49f5-4ddc-81f6-0331f9e08be9/1667600061/,previews/527a291d-49f5-4ddc-81f6-0331f9e08be9/1667600061/,51,105493508,
https://cdn.feralfileassets.com/thumbnails/7f70faea-dc2a-4613-b758-b53b9bd6d00d/1666620445,thumbnails/7f70faea-dc2a-4613-b758-b53b9bd6d00d/1666620445,1,444361,
