dir_or_file,s3_prefix,cid,n_files,bytes,gw_ff,gw_public,verified
https://cdn.feralfileassets.com/thumbnails/bc82d0fb-eede-4947-aa97-fe085f46f0b4/1672665961,thumbnails/bc82d0fb-eede-4947-aa97-fe085f46f0b4/1672665961,QmetSjAKkQzqqKF5jzAfL3yKAmFKvnbB2T4UUZFJUkAULd,1,178390,ok,ok,yes
https://cdn.feralfileassets.com/previews/bc82d0fb-eede-4947-aa97-fe085f46f0b4/1672665977/,previews/bc82d0fb-eede-4947-aa97-fe085f46f0b4/1672665977/,QmdFTn7pBkdKN6Vp71DqJhUPjhprJoKm4E1JRx3kNNpF7R,1,632525,ok,ok,yes
https://cdn.feralfileassets.com/previews/f2cabb51-5eae-48a7-ba16-fc847c23e0fe/1675931007/,previews/f2cabb51-5eae-48a7-ba16-fc847c23e0fe/1675931007/,QmdKLBddG8gS3zSyDEwfpJJjULsXs3oJcKMqfFaS3zy73Y,1,9266392,ok,ok,yes
https://cdn.feralfileassets.com/thumbnails/b5621c75-70f9-430f-852e-9d8fd9318917/1672890296,thumbnails/b5621c75-70f9-430f-852e-9d8fd9318917/1672890296,QmUAHQHreg1Ao5YDc7ZDgpJriZJngsjqfcjWkPxxq7r1cQ,1,362663,ok,ok,yes
https://cdn.feralfileassets.com/previews/b5621c75-70f9-430f-852e-9d8fd9318917/1675049149/,previews/b5621c75-70f9-430f-852e-9d8fd9318917/1675049149/,QmdthydcKyCerJgJmnHBWpaN9gQxNTnyEGABbpNnpYjkJq,20,300500898,ok,ok,yes
https://cdn.feralfileassets.com/previews/35086e3e-d2da-44c8-9806-87543a47c1b9/1675249729/,previews/35086e3e-d2da-44c8-9806-87543a47c1b9/1675249729/,QmVJDLU7ba1BiTxUUoSk6GUbXZjQvv137ZoWCmAyvg36bH,89,8100585,ok,ok,yes
https://cdn.feralfileassets.com/previews/7ad7ee07-883a-4989-a087-e3b03fd4a69d/1666536695/,previews/7ad7ee07-883a-4989-a087-e3b03fd4a69d/1666536695/,QmWgJugQ45DzjaRi1xXiAgw9joa4gMnhmzvMse4NFU5Svk,1,137507,ok,ok,yes
https://cdn.feralfileassets.com/previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/,previews/9e8992c9-91f0-48c7-a7c7-6ca7bcff9d6a/1668537579/,QmWxfi9K1WWZtUX5KyYFfSXK5e4QhC5VjzYrKcxvpd7dB2,212,49726026,ok,ok,yes
https://cdn.feralfileassets.com/previews/dd833c02-3847-40be-ab08-20d574aad3b9/1670991044/,previews/dd833c02-3847-40be-ab08-20d574aad3b9/1670991044/,QmTU5qzJcgS3nKwN648z6KZgcqDScExnCUEXQY1JpARkyM,12053,278399588,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/82115197-d516-4bd8-8498-227aaf30eb12/1663731416/,previews/82115197-d516-4bd8-8498-227aaf30eb12/1663731416/,QmV68BwSsk2jFBxaC8RPy45KA4SRwtkX1yuZnMEmKF7TNW,1,4830397,ok,ok,yes
https://cdn.feralfileassets.com/thumbnails/8dfe5559-b967-42f7-9f4a-f7cb1dae9008/1668959516,thumbnails/8dfe5559-b967-42f7-9f4a-f7cb1dae9008/1668959516,QmPUAXuTtG25Q3vBLJktrMSZxckPNYchAXBHV6JF1yANVG,1,272365,ok,ok,yes
https://cdn.feralfileassets.com/thumbnails/a6463015-af79-43cf-ab25-84074828ac4b/1666709498,thumbnails/a6463015-af79-43cf-ab25-84074828ac4b/1666709498,QmPgzfwNvPB1m13G6av97AL1WrojUkmKCKvqS7No6Tk6Jh,1,55331,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/a6463015-af79-43cf-ab25-84074828ac4b/1667592704/,previews/a6463015-af79-43cf-ab25-84074828ac4b/1667592704/,QmQ6sQmC1tLiBqUhMyaD6hwSYbBnqwt7CGZ82TS42QDvRx,57,137187661,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/5d67190d-28d7-493c-85c8-563c32de44ff/1666625198,thumbnails/5d67190d-28d7-493c-85c8-563c32de44ff/1666625198,QmbVqwVED7YGRz5M3vJiXNmhRYcxCAnZGyHGjtjHNYDWBj,1,257034,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/5d67190d-28d7-493c-85c8-563c32de44ff/1667592434/,previews/5d67190d-28d7-493c-85c8-563c32de44ff/1667592434/,QmVSCLFBqSE6cijSiRkX7fHX8CeesyANot4TrczqKMmqhe,53,129921307,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/9c797f06-41e2-4aa4-abfe-489485bea17e/1666627857,thumbnails/9c797f06-41e2-4aa4-abfe-489485bea17e/1666627857,QmdYiXcVWABTw2HqSETVuf7g54fGxCWXV2Bkr3fuyz4sEX,1,231808,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/9c797f06-41e2-4aa4-abfe-489485bea17e/1667593413/,previews/9c797f06-41e2-4aa4-abfe-489485bea17e/1667593413/,Qme3qVqEA2kjE9f2XsbRgKEHyjoSiU8VYdMLu6s8bHkXiE,125,162390804,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667601386,thumbnails/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667601386,QmemsaryN4GZoxu2hLgwb4QE2DTjReeibtBSrs7cr8BmVe,1,390434,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667599797/,previews/bd0c4207-f8e7-49db-919e-e2913f39d59c/1667599797/,QmQpwFMfPeM51Y347GGtmrhBSbd4hqtKt8oXgrbML9srMe,57,110948365,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/f15bce66-da54-4f05-bc29-7ef15202b0c3/1666625606,thumbnails/f15bce66-da54-4f05-bc29-7ef15202b0c3/1666625606,QmaYn7dp7p3C9rpwUVgEVPbWdE98d47JVAP26mfYBthyUH,1,228282,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/f15bce66-da54-4f05-bc29-7ef15202b0c3/1667592496/,previews/f15bce66-da54-4f05-bc29-7ef15202b0c3/1667592496/,QmPvH8S5sxBXqa3DGbH49YAvqkHnwQNEcXJZ9N77WT696h,57,113529724,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/cc86cf63-6b79-4bba-9613-e362851cbbdc/1666623515,thumbnails/cc86cf63-6b79-4bba-9613-e362851cbbdc/1666623515,QmYvxzoGx4te2TtXHZuXDQxyYCxxgB2zkF7jtVxmbgxbyN,1,417592,ok,public_pending,yes
https://cdn.feralfileassets.com/previews/cc86cf63-6b79-4bba-9613-e362851cbbdc/1667587386/,previews/cc86cf63-6b79-4bba-9613-e362851cbbdc/1667587386/,QmTqaAekTddMnnE8uN3thkmPyMS1Xn9rwJ9uu2zMybkw18,53,107723984,ok,public_pending,yes
https://cdn.feralfileassets.com/thumbnails/527a291d-49f5-4ddc-81f6-0331f9e08be9/1666731421,thumbnails/527a291d-49f5-4ddc-81f6-0331f9e08be9/1666731421,QmUBGDtf94S7Qiwx5X2pbLjMXsCcoq5LPTUVUfg7ZQeiLv,1,238644,ok,public_pending,yes
