edition,token_id,old_metadata_cid,new_metadata_cid
26,15042014439770355205730296321097090521853295916950766059900103364979980239555,QmetzrHDwF2FXDQWt7yTyTmKXWYL5pR2VkYmukW4iaP9Lv,QmbLKm9vNQdUxCp3Gbw1VEvnZDb3BZon8c6GzRzaQaf9DL
27,15042014439770355205730296321097090521853295916950766059900103364979980239556,QmSxigLgWU3DVW64QhCJLZ4DCHnDqTH4zcEZvugptipCf8,QmdcDcK8BPrgNe7hZGfTRQGXh3Hcyyny5GgoQJTi7ftmbv
28,15042014439770355205730296321097090521853295916950766059900103364979980239557,QmQj4jWDUwNNpWUAD9U7HheqVb6uwzQwiuJvipUwko8rfE,QmRHLkPy4SJEGiKtyDssEdYnuy1fv1dqXjqTQT6fEs6axj
29,15042014439770355205730296321097090521853295916950766059900103364979980239558,Qmb9YCVHordd9Yr5mKUPg7yvjKPutrx2R8vbnVjXKhzaHt,QmVo5oqDQwtGjtcKmf6gibociZgUnLNezU9qknoQQSbZWQ
30,15042014439770355205730296321097090521853295916950766059900103364979980239559,QmXWvD3KMUAdho2ZCyxHG16vZhDHSXtibEDqCeSzh3Rt5R,QmcjNZtsKL1qUW2XbkP2ZMFDJLR3adMCGj4wSfF29njxBi
31,15042014439770355205730296321097090521853295916950766059900103364979980239560,QmeyLRbtM4DByDtS3tRK8BopQN2FkKhBjKyUM573AHBRPs,QmXFStoBGzW9xXjGUWaDRkgVxr1UNhmaxX4mJb7j7QyY4c
32,15042014439770355205730296321097090521853295916950766059900103364979980239561,QmQdnutan5RhmpVGQEpgUYfrdaPCTemk5u8rjnocu4xiSt,QmPgt9wGGhSufTjCeuJFaCCyA9GVYkHQsMZFnvesALF5Gy
33,15042014439770355205730296321097090521853295916950766059900103364979980239562,QmWbF8GEQoiWSbXoDsDbwNATNfMN4MgCxskzECJMgz9MPU,QmZZaGBzYBt6ZWA5oUcoEmKkHEETWCMYHddAVtEKpMAeVJ
34,15042014439770355205730296321097090521853295916950766059900103364979980239563,QmSWwfRfKH94M9GtVVibaSEfENaguC1DzrS5211rPhY9Ye,QmS9P8wk4YAxKp2G2mi46KEdWd2Fhh7n9munbygYgq74Bq
35,15042014439770355205730296321097090521853295916950766059900103364979980239564,QmbPnZFvPwjdegzwgPEMqvTXmJtpLWD3WVV6nzXSP3Hpgt,QmXgGTA2oRn1NQSduccVX6iKhk8C5tDvEW3m1zuLCncKxC
36,15042014439770355205730296321097090521853295916950766059900103364979980239565,Qmd6Nw7G18EbR3jtU9UzWun3fapEB25jFk2mFD9v4cGF6T,QmY7s1Mzhx1KE8QerkBTCRQDYKZ7RzpGbvkZG4iAr1Cak1
37,15042014439770355205730296321097090521853295916950766059900103364979980239566,QmSaJib4ACBgzJTQArMXv8H15YYqKp4j81eW9yC9qhJCXL,QmRMGo8s4aHGKBQTKL8dj1DGALRDpCyAqq7ePuEUsdeENv
38,15042014439770355205730296321097090521853295916950766059900103364979980239567,QmWbBE61TZq9d8CCTfuyvkDkfA1GSa3ZAmnQeNkZq9ANzU,QmUhqFFBm667mxDsdnybRD7E9kqqj3pftg14XpyYokJkDP
39,15042014439770355205730296321097090521853295916950766059900103364979980239568,QmTc9JTKynpEMoF31xEbJVXN8sp7EnUjZvAkbya8DPdAHU,Qmabg25GAczWqTc6dJNWNFpXFjeQMWJHYiakm9geoCBDEV
40,15042014439770355205730296321097090521853295916950766059900103364979980239569,QmXqeDHFcQPb3SJW6s5vCpkf7tkzZ1uxAiUUkZBzZGQykG,QmRbTsvspXkoRDkTEDQq9gGZwARTAikp4xAUBdu5PsdPXi
41,15042014439770355205730296321097090521853295916950766059900103364979980239570,QmUxsaqNXuYMcfrPc8AvZ11rPtspNsn2qBSMs13PkUXwiz,QmSAGAt6U7FSJrAtgMUhsWLdiXerFzhsHeZJz9aaC1wtqX
42,15042014439770355205730296321097090521853295916950766059900103364979980239571,QmVZQZEqCXKE6Emq3t5af4ZpucyLzMuu2ACPUbY2tagTH1,QmWg5nqBmZRvqSQrUM2QYcJeY3vF2eVJmTrR7ie2KXk8ts
43,15042014439770355205730296321097090521853295916950766059900103364979980239572,QmU7cEmrXFmuxgzjhgiBNQ996roUBdSoCMvJ6xWRAhqzpQ,QmTVKpZRUX2V2B4Kzai91D1m2kYi7oUDYUmoXQ6ifYykTe
44,15042014439770355205730296321097090521853295916950766059900103364979980239573,QmdjZK31uX58ofKoa9Hs1TxH7YYcbuRJsdduRFMMNKiQja,QmW1CEi34Xef9MqzmgQDeHnrKfRDbPK9QhbrU6pwTLSaHN
45,15042014439770355205730296321097090521853295916950766059900103364979980239574,QmVTmRMjLMpo17eUSc5z7W6AJR8TLcAQvja3xWVKdHvLMN,QmSzeMgYeeuoohQRwtbjEAMLZ7LtC5kNWgEYKAXoSoi5Tz
46,15042014439770355205730296321097090521853295916950766059900103364979980239575,QmdttzDBwTPdmL9dr1BiQjgWHXzJQ5d3QYRsiws45tRypj,QmXno6ymecwkh8GBwWs4MsfSbvfxjBHBg6GoYzUuE7kvuy
47,15042014439770355205730296321097090521853295916950766059900103364979980239576,QmYZKTuNzNbFWnYX6jXCNAXtzGagEYnofPhZk5Zu9DMzoj,QmWKtmcWdYq8Y9N6aJ4PhbrrKkWd7s8q6GsNkZtTMmz6cw
48,15042014439770355205730296321097090521853295916950766059900103364979980239577,QmQVwrkwnmkdVZhP1XRYXBsQxMVdXnyGVUXwU5V9SVuij3,QmTk3jS9TJkWkWMGu78e5BESdVvHQiHjaDDKDTCRgUpRRu
49,15042014439770355205730296321097090521853295916950766059900103364979980239578,QmYkbkkuhVnhuG1NERDnwmmK3gRVTGoTegwxtZrf18CDmM,QmYZNFqGGHygb8eHiL6v8utiY9kggqGyoWwSvr6VH8Zzhd
50,15042014439770355205730296321097090521853295916950766059900103364979980239579,QmYDs2gMxhJcgmyo37qC46PdYuvbMisfQwHyAGYoE39w7Y,QmcxAwTfpaMUDPuj2D5nhnQRhPEhykS8FV2yofzxzMC58k
51,15042014439770355205730296321097090521853295916950766059900103364979980239580,Qmc69zjHHrEmsTy5Etu3pEtYAWnLgCvBe3dhrABLFvFGXM,QmerNJ9zq6px6oxLC6arAgLrYwhhmrRtmLD7cJKSpa4HJr
52,15042014439770355205730296321097090521853295916950766059900103364979980239581,QmPksCsxwZHfjdQkEzSRDgRfQ3WzeN2Zf4HiNEobMNoxjD,QmWxVJa6mkQFyj3CV9ifv8F6Z1Bq1LXAnGaocdL7W42TUr
53,15042014439770355205730296321097090521853295916950766059900103364979980239582,QmdV9GHFpBudANfs1v3eJUjdcishYwUdgfUQkK6Vr9vcVd,QmXCv4t3uXxkUtbsHVyC8Z3Yw6dwHoXyT3vbjDAgt8wdLW
54,15042014439770355205730296321097090521853295916950766059900103364979980239583,QmeMp6Nzg9BP27ijPWnMYxPAoACbCNWkA9iZ6bk7AUSQEY,QmXyCMuuJ3tGaanoNMgaEMmd9pAd6eyXirK3B4VtHtTf7d
55,15042014439770355205730296321097090521853295916950766059900103364979980239584,QmVE3gfNow1VqGESHgNdP2h5SE5tZBv6cwGVk9JuKpJi94,QmcY5Qtz836ZAqo6hPNZbBDc1mqBXJwgmHtTuwp56sWz1W
56,15042014439770355205730296321097090521853295916950766059900103364979980239585,Qmd1VZvVfDpYRH3WWLzhqYdS1PV6jmXV2yUxxPeFz8hNWR,QmfTVf581ZkxE1cCZPP7u6E7qRPJPNpuCcTH8QE3VgZgHP
