edition,token_id,old_metadata_cid,new_metadata_cid
21,57129125216325247059066131395135709425197979245094347477997960213448800830480,QmYefFjRuk9TD8x6JRGqB9jBHsubPYKnBusxvRjTcYuVPd,QmcPp5fSGF9hmNGSNikoQ7tM5dkwoR97T5QuhnZdDC4iWA
22,57129125216325247059066131395135709425197979245094347477997960213448800830481,QmRBKUGwgnA6cudV2qYTM2n4sFrSAaQgTYiQp46m6HPgL9,QmctmvQxEKVQoozDDkvNLW5puTWWsX8yPNTLGbDyUAjMhZ
23,57129125216325247059066131395135709425197979245094347477997960213448800830482,QmTvehNUWnY2i6MAy84jQgdTyuevoWtS3ZbBz95DakAxb1,QmYaSLTBKmNhLjaA4tfCRXRTvpzYzbTbEWA72osx9Qe7tE
24,57129125216325247059066131395135709425197979245094347477997960213448800830483,Qmc9zM2hp5xz6jAan4x4qpjXAwELAHtxoB8XJE8vkNo5fn,QmSKrUMDNBJ3QgocifwYV3GdxKzaLdyHY4Ew12a6tnB2ed
25,57129125216325247059066131395135709425197979245094347477997960213448800830484,QmcY6mM9TdtRWyY7449zsKKxWszRhGzuE8dBKC4dhGkyJh,QmYPjb1UtWoNx9AoomXewXc8QrScDXshr4cBwb24Pk1Pt4
26,57129125216325247059066131395135709425197979245094347477997960213448800830485,QmdEjuuhnCTT4DkmX7Gw2ZQhVUZTKkZWYbHE8PKs95raUV,QmWUqHhknb4RggfUuxUkz2JNehATty8GnkY2h2o1hsPr9p
27,57129125216325247059066131395135709425197979245094347477997960213448800830486,QmS34jhz385ef2FdYiETGR9g3ZmaBzSuHzsuDdwcow5GTP,Qma9Zg8eVm5VixZ1rAC6Y3ezQSRff4XjXpRgDEZkG5amHK
28,57129125216325247059066131395135709425197979245094347477997960213448800830487,QmR7WSzBdBjXm9EC7npLCT2aPqBRfEyJh4LSUeu3grqKDU,QmduzZmiVG5HqwLq299wQyCvJftHvu4CQ5QEWGfZc5gvgn
29,57129125216325247059066131395135709425197979245094347477997960213448800830488,QmRbdgKhQLQmBGMVSDQZpnJASBj2fWvdpHkkcH4kcUSPn4,QmavbgFCz7zNQHzLoeBSnWC1jCbT9vkFETz9a3adjkn8xd
30,57129125216325247059066131395135709425197979245094347477997960213448800830489,QmaLYPFqu3nkTMKd3N4kfzLG9VyhyJq9topZzuCvU7Xu6T,QmUD9HvG9PrYcis7u8ZK3JCtbbHGZ9hXLWNy37w9nQB2yE
31,57129125216325247059066131395135709425197979245094347477997960213448800830490,QmUpMC52nqAiQb1wHuXMEvnw28cbhUT6fgCwJSAJYgEHq4,QmXsjGXijQAWPtp8N6R3QHCJLNryM94oBGsEadGR5m7bTT
32,57129125216325247059066131395135709425197979245094347477997960213448800830491,QmUXh8P6xSVUkGXSoETdiMF36fgZVhYKL2B4Zisk6Y6bYY,QmTndLwfnijeGwY9nQKZ5heJ3jUaf6AAwRrEiBV7d5Xyni
33,57129125216325247059066131395135709425197979245094347477997960213448800830492,Qmf2H4nieZYxo49eaB5Noyecbx7AYsDQMHXoqD1kMPQgXJ,QmUChXkSCRBN3Zu9RMbCKEaJW2jN7bjhUy6tnThmHcEmx2
34,57129125216325247059066131395135709425197979245094347477997960213448800830493,Qmez9t681VetAfSduWCfLBeEtWuqXQTRdCF6kFWRuivqXe,QmbsXRNmoU1fizhaXGdpPCuqEjR8PicXZhxR8rcD6tZc78
35,57129125216325247059066131395135709425197979245094347477997960213448800830494,QmV7a4jEeHPgCgQb4E47CAFpg648aLtJn8mdPmYwsWPu7C,QmWvP5tWFvP3u48Cr4FqyZ4Cnqfg4HXxH7YBMYar8oyz4p
36,57129125216325247059066131395135709425197979245094347477997960213448800830495,QmfUnSZfapdNpD5Ks7PSQSGdJ6oSCPRvWEuErMhtLAib3R,QmW6knE7jhsR1CWL9juUqYxcZrgcURuJgsPtcGdG2irwAW
37,57129125216325247059066131395135709425197979245094347477997960213448800830496,QmWCtar4zh7DQHTukPbmf7e9R24iQu8cBXjuUT1b9NYSUp,QmScKnQ25xkV74evMuTbuwaAKSWAzxbTdrBSy86oF7A68o
38,57129125216325247059066131395135709425197979245094347477997960213448800830497,QmVMkvUZ9HZkaDhchXkF6Z61bUGiTU8yxguEXoo25wAKwJ,QmdnLoxfA1RTszZ2TX2hLA2BicaqjT5DJTyfRLAdc3nYRW
39,57129125216325247059066131395135709425197979245094347477997960213448800830498,Qmb6E9WrdTSLa7g8j3uGyV5Vy8qFkhiZwEwCnRWFCZAkSE,QmWr2sDopJif8JJwWBRDPQJ7s7d1MYPtP58zBEJnckvKg4
40,57129125216325247059066131395135709425197979245094347477997960213448800830499,QmXPosUTQPxox2hW5TQiiyzV1A83z7C4QCkfVbBXZaU5Kb,QmX8svRSmgQ4LVzH9U9pMZZeN6pggiwrGGWpSFd96xNZbP
41,57129125216325247059066131395135709425197979245094347477997960213448800830500,QmR7YQNGeEMY3RsRiQnRdqKwXKfSAvpxFxkmtCY3Ez5rUv,Qma8UmTZr42iBFzAiNnmX4UY5JZL387NUtktvDa8hJrFMH
42,57129125216325247059066131395135709425197979245094347477997960213448800830501,QmcyWaegPJaGYEsUWotN1NP2oX2NV8cThobFv99W1HCkzP,QmXFwg2k4tSgbi1H7qYLfCwXBhtc3JvTRxubnfYwzxm78w
43,57129125216325247059066131395135709425197979245094347477997960213448800830502,QmVbY3ayLAwXfGNL5TY8jhNeMSP8TQBnvbt8FqXHYg6FPJ,QmSgUK9qG9Zu41VMFeBWvC1r7FfAEerbqNWB8GYAPX9EFq
44,57129125216325247059066131395135709425197979245094347477997960213448800830503,Qma3gGm8GMCPE6Erdsyb2nokCJBXV5PNZRWoYDpqzCfoNJ,Qmb7xuhbhmt55oAHErGtb6F5uQyvTc2jQKivUshff4Ko54
45,57129125216325247059066131395135709425197979245094347477997960213448800830504,Qmcz6CfuLHBAdEusAax16M7FJJREn5RyT4m4PyHBhZu48D,QmbYQBvvGPddBjAVd8qQQ3mJARwgFzffWwVSNSyJmKtMyX
46,57129125216325247059066131395135709425197979245094347477997960213448800830505,QmbNFafMsdxM3p6Pg9KTvyUPgZ59NFZpoA5f8YpjFpGtEj,QmWhpvEXjSNuhhorQbWetDTQBpBcH53TYhyW2LoexWS7p1
47,57129125216325247059066131395135709425197979245094347477997960213448800830506,QmYMvgbK3PzzkVnnSbD7aq1YeD1Whv2fBjADyqG3TERSsx,QmZ6xPrNc6RDUBinyVuyLmQTKnKPRmSiw1zcjKtrFBrXWa
48,57129125216325247059066131395135709425197979245094347477997960213448800830507,QmNjU7gGY5HXfQQgdhvPuEcqS2k4iFsbJgNvqP71XLTLRa,QmVfUj8sWsSmn44RKvhuwHjmtLpJNYVn4zy1twPLy4RhnE
49,57129125216325247059066131395135709425197979245094347477997960213448800830508,QmeiJEn4KG6cDNidTrBzmmVetMp6u2aSny3MZ9pB1f2KBR,QmfR4ZFjNNv7wXQ9z1LJ2kdWFyKrG1t8UJuaNyyU1FQzvV
50,57129125216325247059066131395135709425197979245094347477997960213448800830509,Qmcs6u9sT4qkYTqr7fLNkVh2CctNEWGh1cXp5c1mxPJsgw,QmdKkrbCgL3wxiBQhSCqU8NuzdihHbJGYPhnVjCJ5byiQC
51,57129125216325247059066131395135709425197979245094347477997960213448800830510,QmZ54Feic4PYnQXsCyDVz2vgaJTBTHvz6piknF69Vyf1Bi,QmRSZPeyYW9oRZwbEkLcM8CZtQuaXjqxjPQAHHZ7gKqzwP
