edition,token_id,old_metadata_cid,new_metadata_cid
15,58987192466841004628201111767945836073083865759174394385352028392528079468102,QmQDrbyhYtkbfRiENavS24RQXBJNsiV36JjxM8Tf6Y8BbQ,QmaZwNn5Xmj2SjzHyAqwtyNzgaU1SarYS4ZfGPg6DheXpZ
16,58987192466841004628201111767945836073083865759174394385352028392528079468103,QmSXvLGwA9DpcvsjyaHuLUjiknmksdb3qjSfxDoDiT412o,QmYGpACSbsV8B8Xm6DMrkD9p3Z9Suhc6MEDWzBPVSUnYfA
17,58987192466841004628201111767945836073083865759174394385352028392528079468104,QmWEH1HGpwpKAkJufbc8jmiwcrJJYp1xZJ46a2HmxojCsV,QmZsEZn1rYsQVGNGs4YPH5DsCau7YDkdxEurvrGRXdKjXu
18,58987192466841004628201111767945836073083865759174394385352028392528079468105,QmWw8fpjWCC7LZ6EY49ZiSFuMkXH48xkzFkF9nL99Cv293,QmVmR1oDmczXMb3Aws7YSQDXw9zPZfDoJ6TYSjifDescP8
19,58987192466841004628201111767945836073083865759174394385352028392528079468106,QmW8GNPchydP1acVbgybxCTxE8sJW3d4NN1RS5F5qxgpUa,QmRa77xTaVp3DHJjymWRyGqBSAxVLKXivqMNKaZYjkNMRz
20,58987192466841004628201111767945836073083865759174394385352028392528079468107,QmNgvRPYSSfhUg2Ez8PRyumhNFJxCqAXSvx8N4mn15zB83,QmWHt6Yfbza7bnxKAzTKtjEy7okGA3Y7hHFzPYvSbykq7C
21,58987192466841004628201111767945836073083865759174394385352028392528079468108,QmTMwMvGJe3SW2SEgKpeRAiZzkfdi9rRnVDn1UUNmomPYv,QmZy8WD7tCBDNDqtcRSJ3wZBewNKoiPLcWBT9BoR5o4WTT
22,58987192466841004628201111767945836073083865759174394385352028392528079468109,QmUR4vWAqHyS7V8riokkuWxtE4CLKeFyqixtFHN9uoLiTz,QmU4CptiZG91fPJt2KcdziVogRKYmoKHx31aDbFWmRLVYb
23,58987192466841004628201111767945836073083865759174394385352028392528079468110,QmVs8KioMsgk6ni61cXQSbrQuQxtbXpQU63aksopg86nvG,QmbrSpfqC18usXvvHNUTmZ2D1ahki6UkLhHaKoekiN4wTL
24,58987192466841004628201111767945836073083865759174394385352028392528079468111,QmUGd2EYFAkKJ6sHH9dHYXg1GGzdihGwV2iJM9vQWwyiVM,QmPjsMwDnz6NogjJJCSbkinqcnVDVgkURCpDvzmAsmHghB
25,58987192466841004628201111767945836073083865759174394385352028392528079468112,QmRZNt7YB86Y92NE2tmfW7he4uWhnQKW9xJQZVBAgqzYqj,QmYdYA2nFCbizDPCDC43JWrAnZPvs6n9jHg9eHnteiYueg
26,58987192466841004628201111767945836073083865759174394385352028392528079468113,QmZU2h6g87BAtVDae4eD3y8vk77ncnSSBbvjicPi5ZHQW8,QmZiHwSgbQPWJf7U9JsVCRUs6JXFgh9NgtvL4ygmtupSfj
27,58987192466841004628201111767945836073083865759174394385352028392528079468114,QmdM1dA3PAtxVjM9fqCCM8KFui49SLaGUXjkCds53xS5oS,QmYmiNLa18VAt6WrnJpcPv8HDjvj6GXT7ciuCfGy5LncFL
28,58987192466841004628201111767945836073083865759174394385352028392528079468115,QmRQeLQFKrAWAzNYG7sp1V52yM6McJgDzTgpq97PF1N43u,QmdN3hjzRzTfDPain29bbKjrKT53w9NSFM9c1i8iLQEex2
29,58987192466841004628201111767945836073083865759174394385352028392528079468116,QmZvJQAJf2enHhtUD4NMz7FoFJZFfyx3RwVBNvc2JE5Xzb,QmaswXm3ZdSbmY2JrYvW1axVR2RNwDNXMRYqXVJoQcg9NF
30,58987192466841004628201111767945836073083865759174394385352028392528079468117,QmQCvEmNiMRFKexYhs4HxmnSHm7PjtoEbbbYeATN2yLHm9,QmThr4P8qesqtBirBw9HSCnYn2qLhF2xivk1jQzFXy7ndf
31,58987192466841004628201111767945836073083865759174394385352028392528079468118,Qmep2gHJySFDdx61W8aHwJ1WYyXQQGm6NCqxD3bPJQzG3o,QmPqspqXGJ7YUa19E8nHjikcAsx3cg22CS8gD59jedCNcy
32,58987192466841004628201111767945836073083865759174394385352028392528079468119,QmektcSEuGcsYGMW5rAvQQvA6Wai7GpNcnCKQXSU2btdrP,QmVhWzHsNDmdBvHXLFWGCj5yLNFoaGZKEFqmaKFGnjeyuX
33,58987192466841004628201111767945836073083865759174394385352028392528079468120,QmfAZogUCPqTJoed6Ho8o8wSjeW5yzgNj6A8scYpiJtS9x,QmVzzEn4B9SKVm3Koa2XpaCemuR27Zp2gKsdosTZ6TGjmU
34,58987192466841004628201111767945836073083865759174394385352028392528079468121,QmdnKP4TDzMbLhdhuSVcn1TrxtsZ7NVX6p7AnX3HMUWU8h,QmexivXP2khYiJ1r5RKFYzTVJFRGuq7yhWJrZWG6pBe7VQ
35,58987192466841004628201111767945836073083865759174394385352028392528079468122,QmPUMRYr3duTsPqx6KDZVL6yNpkditeEAUb2oZh2nsuYjs,QmY5gqBnizxjRLgW3Lp2eyN2nxzSbVj3JhHroHg7266bGo
36,58987192466841004628201111767945836073083865759174394385352028392528079468123,QmTT5kz9yaru2dcU3adAV6oVntSYgtqdrAz8h1QKWj8z18,QmSt1Zp6CbjDtD9xYH7B13dXg1FYATYGZHGegZYFUjos8i
37,58987192466841004628201111767945836073083865759174394385352028392528079468124,QmazUM5RSap9pv89xnDyN74AQZvrWsHWs4xrHB2Zojj8x3,QmaZzghNZ5iqpLPhucZF3dkkMKA5PExX3FFmKD8qHFpDE4
38,58987192466841004628201111767945836073083865759174394385352028392528079468125,QmTAvcYy311VjJ4oU9magmVbwb39NMPyXFUaLhYquaV3Nq,QmdpaiysDmALCq6vDT94eNDj3dNsXtG66whuKECHabBqbE
39,58987192466841004628201111767945836073083865759174394385352028392528079468126,QmQkuPUrtJy5btoHEAM99vB7dF2DKPBPQ7q5PukmsDwzCu,Qmd8JEz8RcbLbpUiXhcBi9mXDEtzYpFk2nHToXGQZhpxj7
40,58987192466841004628201111767945836073083865759174394385352028392528079468127,QmQkdZpa3RSA9x3i1iUtuWocFB2A8yi1ona4r43kFCRPsN,QmUJ1GAta1wQY2yDFTR5MAJYSgCjAPvG11B7QXZ4rGXCvC
41,58987192466841004628201111767945836073083865759174394385352028392528079468128,QmPjXajGW9nB5cSYTqhSkRim9kRjbLmxxUpxgJUsvXVqXG,QmXcGobs2nSKNJ3GwkJzbsKi7ifhU2hAuVBnn6Fzm41BBf
42,58987192466841004628201111767945836073083865759174394385352028392528079468129,QmRwZGpQkyJDz6YzBP9qN8sHb98gKcHLBFxHvwyYDgooJR,QmdHSFrcJeEn77SoGya2xoHcLbVymKaLNs5DVEhCt88539
43,58987192466841004628201111767945836073083865759174394385352028392528079468130,QmbVQGLs85bLtXsF9MxJkxjwcsXWm4rpcu2uie2w8nvXRQ,QmWcBRjojzULEfXTyTBFof56rA9cVMcCLr1cz3hPKWqJqy
44,58987192466841004628201111767945836073083865759174394385352028392528079468131,QmV8xmWRmWn3QSk36H9Bu9JZuVkssQxXEpFZDThoLSTyDv,QmdMZNHyVbRKDihgbvmdbNduCZ2yMa4HUQXnWqb4yreVue
45,58987192466841004628201111767945836073083865759174394385352028392528079468132,QmTboYQRw2QQ8eHqPx1Hrf4gAruo5K9k49BguxUnf5BdYY,QmWZs5YhsQEw5SCgFTeGYnAR8NAmPPPRyAW18f3xDGEBku
46,58987192466841004628201111767945836073083865759174394385352028392528079468133,QmfUt2t8W85LHYAgsakXu5PWqZnBT7PNszPizCHFenL4Sj,QmQXx1AqpHZV5JcUA61QPwF5MUDeDNvM3X6ixFR7XGDxGq
47,58987192466841004628201111767945836073083865759174394385352028392528079468134,QmdwZ8eKG6fD5ZRnLHDA3s5gPtJouQ9xiJaZ8855dFZhzT,QmcdYV87D3zraxg2PQssh1rfoHHKkgB7UxWJsWRwDANam3
48,58987192466841004628201111767945836073083865759174394385352028392528079468135,QmUyBARHskQaQLgDHh4JwSnFDJCb9MmKdz8JXqc8ZxufuD,QmRUiGt2vU1St7XjAFMqJjhjkw7o21miRaVeRhb5JGEC4E
49,58987192466841004628201111767945836073083865759174394385352028392528079468136,QmTi4h6miR1T46MWkgCdcGgQ7g3m9i16hsdprApvR9Kq1H,QmPNLwjAMebvCo788FkSst4PhgSKmDrmwMPGCFZb9YKEpz
50,58987192466841004628201111767945836073083865759174394385352028392528079468137,QmZCHEwy8AERdaGAShcxxX1amZC3r1SB1bwyHUJ6V8CLqN,QmY7NxwJhHS6pGcWn1eBtwk5TBTvA6UXc9388yRSpobcFw
51,58987192466841004628201111767945836073083865759174394385352028392528079468138,QmPUkTmiwRFok1xDgDLbKZYBjZpHvEubuv7ibvNcb5oGq4,QmdFvCuU66YYN2zkqWcYg4FwUuFY8nMossGrqokztrU69o
52,58987192466841004628201111767945836073083865759174394385352028392528079468139,Qmb7ioB3guHUpxx3B3DTsvpPZq4FS9Q3zfXntRXLK1JtM3,QmRvcbZtsYQvdtwSPut5gstypKqt5HG9s2o6GX63n6V5c5
53,58987192466841004628201111767945836073083865759174394385352028392528079468140,QmPmnFU75a4UYyDEAfiGP1g5vndRFBWycWAWakr2NJviyi,QmVufxjocUwxTw6jXkWqNPHSDF9wZ1qyLmbssKSw6NEWkJ
54,58987192466841004628201111767945836073083865759174394385352028392528079468141,QmYp2ggGVG4kt4muaAyGs3tnVEKZqccKdKi59kULjhP5mm,QmYU3EqLsGU52jqJJA1nV2unubPqZunYR3HCDU58xFKmmU
55,58987192466841004628201111767945836073083865759174394385352028392528079468142,QmRJCoS2mSKU5NKYK5nzhc7TNUtrE8a9DoFJYk8emP6w9v,QmWULK2ZLkLJBDGfxumQsyQ8fTYhdEyJUK2D3tk5DEm7fP
56,58987192466841004628201111767945836073083865759174394385352028392528079468143,QmeJstzs3MhQc1FZq6DR6hKoKCEqejetxtUHC2K5dSeL8B,QmS6F5MvF3i13wpcuEs5GPBTmZPy1fgsNbe3mGBaYvkuZ4
57,58987192466841004628201111767945836073083865759174394385352028392528079468144,QmU1qdg4SPfwr1A23H9nX5SQPD8ZdxCPyJhEQsLoXiwzBj,Qmd6Cy5Ps7GmBsyLQUruFLqExaq3JoT6j1astkGqgcr43o
58,58987192466841004628201111767945836073083865759174394385352028392528079468145,QmYCM2EgbNPJWUjdZQcSnNuAMm1p1ZYG3X9SAkT3xdvnE3,QmTKoj7UiYcrGmcfcahF1AZFcKLfQ6ovsVepY46RHHCNTD
59,58987192466841004628201111767945836073083865759174394385352028392528079468146,QmWkASzqcic1Re2a7CJKqeYpTQrrifuS9anVTE9f3WX6Pq,QmeJYoVi3GcgqvL7qLyk1Cpxkzbh3jxDYqmFiTXCmUmqL4
60,58987192466841004628201111767945836073083865759174394385352028392528079468147,QmQnwVDmDxJmc4VxTbRUfjXJfFUe7chr5n7Jr2qtLNKbuu,QmXEG62Dwm2xGYRCtnHvmrTQ8DJ2BMcK35ETKAyi5dLpbC
61,58987192466841004628201111767945836073083865759174394385352028392528079468148,QmXGJLy9tpHFmj4V91dd4zaAovTRhAuGv5yD89nzzBHVMo,QmfP9pauKdK7EvUBZRNFHuM2Nx1mPWFw2e27cY3RyUEuH1
62,58987192466841004628201111767945836073083865759174394385352028392528079468149,QmSvASfD724syxr5SEzX3v6gZz8dX4jCajcjMpL57xEHk4,QmPq1pkA5KYZ3RTvtz5UM3JP6QXS83DKVSJng5gm62x7qV
63,58987192466841004628201111767945836073083865759174394385352028392528079468150,QmTJMtnij1JPUhrqesfeWqCB7JnaMNdHkhpncZ3tdtj6r9,QmNgdxRcgtfWiEqRn1L1GEFskkVXBeKYT2YytYzZN37Y6t
64,58987192466841004628201111767945836073083865759174394385352028392528079468151,QmSNwijkL5idFDydE1qWF17yi87V6q13GvS4YYNv3ZzE3o,QmbTvEeMwMyX31J3TyuBqMM2KrvtaYSf9sWMwfKgG6dMiG
65,58987192466841004628201111767945836073083865759174394385352028392528079468152,QmQQYFUw69FMaTS64zHUcxU56rEGTSgFNK3vtv6FxxTsqr,QmPCZTCZUKQ2bQqR4aAe47m2KT4nutaHqtgZUUQ7fmULXw
66,58987192466841004628201111767945836073083865759174394385352028392528079468153,Qmc6UyDzTysXGF3ybABRuFb8CfKgNqSDHm63YQ1UcKzMaZ,QmREv2hCSTWWJ7xd4DNj8peXj3oFVm5EN8dbS5Xy17DQiN
67,58987192466841004628201111767945836073083865759174394385352028392528079468154,QmTAra1yqoK9gyjMQakc53FrbPks3LWUWRrhxeKxTQDDVo,QmcCmc69ittrc1FagcDjJLWVLTo8CoFqgV2rZTztZGBsGu
68,58987192466841004628201111767945836073083865759174394385352028392528079468155,QmSgSL1LzZ1DdxqFmh5WvmD5uGcfZCVJJtG8byB1gA89ZG,QmUX8riboPCfkZZMGGwpuXFkufPqNWZXTFCB4RcbXNtwUE
69,58987192466841004628201111767945836073083865759174394385352028392528079468156,Qmaro9MPetBmpWKuyqDXNaKvrBSGWFttaE28i5SrmjJ4Xj,Qmf6H3QEe2WatJ9fWzUQtoq3M5j2ubKg11ugdRNQUJUiz3
70,58987192466841004628201111767945836073083865759174394385352028392528079468157,QmdvX6xvWhoG5djtFyx7NiRiYrb7mtPMyCiSdNZyP4uekr,QmT6J19ZApDCQWErm6gTrtLpSSXi1ooj1bCdzcoWfpHQer
71,58987192466841004628201111767945836073083865759174394385352028392528079468158,QmPXktFdFUz7KkHDtWcQaijfKcg4UoWcuSE2XHGweGebB4,QmSMamDakdfxBjkoBzYmCb3mEpxkWGdxqxwwtb2haXGFaE
72,58987192466841004628201111767945836073083865759174394385352028392528079468159,QmcQw1Dhyq9RKTvxRa9aesbHxqCmgWaeex7FxMREZWp5vF,QmNV36bnaLNc89iKMk3KEnMyzAUyfw9aKkhknmnQKjPyAL
73,58987192466841004628201111767945836073083865759174394385352028392528079468160,QmXAcxGmxwVoFyo6Ex24WT5grvD1sanSPFdwWYgsccqFUD,QmX2ZA3JPcdgjE1cy1CLLnxZfBn8c3FaQrJ1E138kXZ12P
